Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Total y Rango etario;Nº Mujeres;% Mujeres;Nº Hombres;% Hombres;Total
PP007;Partido Comunista de Chile (PCCH);2019;Abril - Junio;80 o más años;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;Total Militantes;40.752;47,02;45.922;52,98;86.674
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;14 a 17 a?os;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;18 a 19 a?os;12;63,16;7;36,84;19
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;20 a 24 a?os;2.478;53,24;2.176;46,76;4.654
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;25 a 29 a?os;2.366;52,16;2.170;47,84;4.536
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;30 a 34 a?os;2.286;52,53;2.066;47,47;4.352
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;35 a 39 a?os;2.104;48,32;2.250;51,68;4.354
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;40 a 44 a?os;2.156;47,34;2.398;52,66;4.554
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;45 a 49 a?os;3.944;46,41;4.554;53,59;8.498
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;50 a 54 a?os;5.718;45,26;6.916;54,74;12.634
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;55 a 59 a?os;5.416;45,22;6.561;54,78;11.977
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;60 a 64 a?os;4.364;45,62;5.203;54,38;9.567
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;65 a 69 a?os;3.218;44,3;4.046;55,7;7.264
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;70 a 74 a?os;2.487;44,63;3.086;55,37;5.573
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;75 a 79 a?os;1.848;45,6;2.205;54,4;4.053
PP007;Partido Comunista de Chile (PCCH);2019;Ene - Mar;80 o más a?os;2.355;50,77;2.284;49,23;4.639
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;Total Militantes;40.564;47,04%;45.667;52,96%;86.231
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;14 a 17 años;0;0,00%;0;0,00%;0
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;18 a 19 años;12;66,67%;6;33,33%;18
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;20 a 24 años;2.334;53,07%;2.064;46,93%;4.398
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;25 a 29 años;2.372;52,57%;2.140;47,43%;4.512
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;30 a 34 años;2.281;52,23%;2.086;47,77%;4.367
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;35 a 39 años;2.113;48,57%;2.237;51,43%;4.350
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;40 a 44 años;2.102;47,31%;2.341;52,69%;4.443
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;45 a 49 años;3.812;46,43%;4.399;53,57%;8.211
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;50 a 54 años;5.701;45,44%;6.846;54,56%;12.547
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;55 a 59 años;5.428;45,06%;6.618;54,94%;12.046
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;60 a 64 años;4.439;45,83%;5.246;54,17%;9.685
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;65 a 69 años;3.217;44,28%;4.048;55,72%;7.265
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;70 a 74 años;2.509;44,78%;3.094;55,22%;5.603
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;75 a 79 años;1.872;45,50%;2.242;54,50%;4.114
PP007;Partido Comunista de Chile (PCCH);2019;Abr - Jun;80 o más años;2.372;50,77%;2.300;49,23%;4.672
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;Total Militantes;54599;47;61172;53;115771
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Simpatizantes 14 a 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 18 a 19 años;151;52;142;48;293
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 20 a 24 años;1132;52;1050;48;2182
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 25 a 29 años;1512;48;1618;52;3130
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 30 a 34 años;1483;48;1586;52;3069
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 35 a 39 años;2079;50;2095;50;4174
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 40 a 44 años;3162;48;3452;52;6614
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 45 a 49 años;5674;47;6373;53;12047
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 50 a 54 años;7245;46;8416;54;15661
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 55 a 59 años;6658;46;7721;54;14379
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 60 a 64 años;6186;46;7138;54;13324
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 65 a 69 años;5226;46;6156;54;11382
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 70 a 74 años;4694;45;5697;55;10391
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 75 a 79 años;3887;47;4403;53;8290
PP009;Partido Demócrata Cristiano (PDC);2017;Abr - Jun;N° Militantes 80 a más años;5510;51;5325;49;10835
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Total Militantes;53838;47,22;60186;52,8;114,024
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Simpatizantes 14 a 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 18 a 19 años;151;0,28;142;0,2;293
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 20 a 24 años;1122;2,08;1052;1,7;2174
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 25 a 29 años;1504;2,79;1606;2,7;3110
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 30 a 34 años;1467;2,72;1572;2,6;3039
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 35 a 39 años;2049;3,81;2074;3,4;4123
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 40 a 44 años;3134;5,82;3401;5,7;6535
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 45 a 49 años;5612;10,42;6295;10,5;11907
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 50 a 54 años;7158;13,3;8294;13,8;15452
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 55 a 59 años;6595;12,25;7619;12,7;14214
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 60 a 64 años;6112;11,35;7038;11,7;13150
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 65 a 69 años;5150;9,57;6060;10,1;11210
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 70 a 74 años;4616;8,57;5587;9,3;10203
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 75 a 79 años;3834;7,12;4313;7,2;8147
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;N° Militantes 80 a más años;5334;9,91;5133;8,5;10467
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Total Militantes;53572;47,2;59850;52,8;113422
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Simpatizantes 14 a 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 18 a 19 años;139;0,26;134;0,2;273
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 20 a 24 años;1104;2,06;1028;1,7;2132
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 25 a 29 años;1488;2,78;1599;2,7;3087
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 30 a 34 años;1440;2,69;1549;2,6;2989
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 35 a 39 años;2038;3,80;2034;3,4;4072
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 40 a 44 años;3074;5,74;3318;5,5;6392
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 45 a 49 años;5480;10,23;6177;10,3;11657
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 50 a 54 años;7144;13,34;8265;13,8;15409
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 55 a 59 años;6587;12,30;7559;12,6;14146
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 60 a 64 años;6101;11,39;7022;11,7;13123
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 65 a 69 años;5132;9,58;6047;10,1;11179
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 70 a 74 años;4624;8,63;5608;9,4;10232
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 75 a 79 años;3841;7,17;4328;7,2;8169
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;N° Militantes 80 a más años;5380;10,04;5182;8,7;10562
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Total Militantes;53387;47,3;59532;52,7;112919
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Simpatizantes 14 a 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 18 a 19 años;115;0,1;119;0,1;234
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 20 a 24 años;1067;0,9;988;0,9;2055
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 25 a 29 años;1506;1,3;1565;1,4;3071
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 30 a 34 años;1399;1,2;1523;1,3;2922
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 35 a 39 años;1978;1,8;1983;1,8;3961
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 40 a 44 años;2976;2,6;3154;2,8;6130
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 45 a 49 años;5295;4,7;5995;5,3;11290
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 50 a 54 años;7115;6,3;8157;7,2;15272
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 55 a 59 años;6629;5,9;7673;6,8;14302
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 60 a 64 años;6092;5,4;6955;6,2;13047
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 65 a 69 años;5169;4,6;6075;5,4;11244
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 70 a 74 años;4643;4,1;5626;5,0;10269
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 75 a 79 años;3899;3,5;4392;3,9;8291
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;N° Militantes 80 a más años;5504;4,9;5327;4,7;10831
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Total Militantes;52799;47,5;58430;52,5;111229
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Simpatizantes 14 a 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 18 a 19 años;93;0,1;99;0,1;192
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 20 a 24 años;1038;0,9;940;0,8;1978
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 25 a 29 años;1477;1,3;1551;1,4;3028
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 30 a 34 años;1384;1,2;1505;1,4;2889
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 35 a 39 años;1940;1,7;1920;1,7;3860
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 40 a 44 años;2847;2,6;2985;2,7;5832
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 45 a 49 años;5107;4,6;5755;5,2;10862
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 50 a 54 años;7089;6,4;7997;7,2;15086
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 55 a 59 años;6703;6,0;7733;7,0;14436
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 60 a 64 años;6064;5,5;6890;6,2;12954
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 65 a 69 años;5163;4,6;6006;5,4;11169
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 70 a 74 años;4630;4,2;5601;5,0;10231
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 75 a 79 años;3859;3,5;4309;3,9;8168
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;N° Militantes 80 a más años;5405;4,9;5139;4,6;10544
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Total Militantes;53036;47,6;58355;52,4;111391
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Simpatizantes 14 a 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 18 a 19 años;94;0,1;87;0,1;181
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 20 a 24 años;1041;0,9;933;0,8;1974
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 25 a 29 años;1525;1,4;1596;1,4;3121
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 30 a 34 años;1428;1,3;1536;1,4;2964
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 35 a 39 años;1947;1,7;1920;1,7;3867
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 40 a 44 años;2795;2,5;2874;2,6;5669
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 45 a 49 años;4975;4,5;5666;5,1;10641
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 50 a 54 años;7153;6,4;7912;7,1;15065
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 55 a 59 años;6729;6;7762;7;14491
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 60 a 64 años;6152;5,5;6916;6,2;13068
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 65 a 69 años;5214;4,7;6021;5,4;11235
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 70 a 74 años;4622;4,1;5617;5;10239
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 75 a 79 años;3907;3,5;4354;3,9;8261
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;N° Militantes 80 a más años;5454;4,9;5161;4,6;10615
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Total Militantes;53281;47,7;58332;52,3;111613
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Simpatizantes 14 a 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 18 a 19 años;85;0,1;61;0,1;146
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 20 a 24 años;1045;0,9;932;0,8;1977
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 25 a 29 años;1573;1,4;1618;1,4;3191
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 30 a 34 años;1470;1,3;1585;1,4;3055
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 35 a 39 años;1964;1,8;1935;1,7;3899
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 40 a 44 años;2758;2,5;2802;2,5;5560
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 45 a 49 años;4867;4,4;5518;4,9;10385
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 50 a 54 años;7181;6,4;7884;7,1;15065
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 55 a 59 años;6778;6,1;7848;7,0;14626
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 60 a 64 años;6191;5,5;6897;6,2;13088
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 65 a 69 años;5289;4,7;6074;5,4;11363
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 70 a 74 años;4628;4,1;5601;5,0;10229
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 75 a 79 años;3943;3,5;4405;3,9;8348
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;N° Militantes 80 a más años;5509;4,9;5172;4,6;10681
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;Total Militantes;53614;47,9;58368;52,1;111982
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Simpatizantes 14 a 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 18 a 19 años;70;0,1;55;0,0;146
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 20 a 24 años;1064;1,0;946;0,8;2010
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 25 a 29 años;1603;1,4;1631;1,5;3234
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 30 a 34 años;1518;1,4;1644;1,5;3162
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 35 a 39 años;1994;1,8;1945;1,7;3939
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 40 a 44 años;2725;2,4;2747;2,5;5472
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 45 a 49 años;4787;4,3;5381;4,8;10168
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 50 a 54 años;7226;6,5;7856;7,0;15082
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 55 a 59 años;6821;6,1;7912;7,1;14733
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 60 a 64 años;6283;5,6;6955;6,2;13238
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 65 a 69 años;5309;4,7;6077;5,4;11386
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 70 a 74 años;4674;4,2;5591;5,0;10265
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 75 a 79 años;3956;3,5;4441;4,0;8397
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;N° Militantes 80 a más años;5584;5,0;5187;4,6;10771
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Total militantes;53.352;47,92%;57.980;52,08%;111.332
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;14 - 17 años;sin datos;sin datos;sin datos;sin datos;sin datos
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;18 - 19 años;52;0,05%;41;0,04%;93
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;20 - 24 años;1.006;0,90%;892;0,80%;1.898
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;25- 29 años;1.597;1,43%;1.625;1,46%;3.222
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;30 - 34 años;1.517;1,36%;1.648;1,48%;3.165
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;35 - 39 años;1.969;1,77%;1.900;1,71%;3.869
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;40 - 44 años;2.640;2,37%;2.689;2,42%;5.329
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;45 - 49 años;4.621;4,15%;5.112;4,59%;9.733
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;50 - 54 años;7.156;6,43%;7.766;6,98%;14.922
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;55 - 59 años;6.850;6,15%;7.950;7,14%;14.800
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;60 - 64 años;6.313;5,67%;6.993;6,28%;13.306
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;65 - 69 años;5.329;4,79%;6.105;5,48%;11.434
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;70 - 74 años;4.702;4,22%;5.574;5,01%;10.276
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;75 - 79 años;3.982;3,58%;4.472;4,02%;8.454
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;80 a más años;5.618;5,05%;5.213;4,68%;10.831
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;Total Militantes;29.070;54,7;24.098;45,3;53.168
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Simpatizantes 14 a 17 años;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 18 a 19 años;1.174;2,3;840;1,7;2.014
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 20 a 24 años;4.763;8,1;4.087;7,1;8.850
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 25 a 29 años;8.038;14,1;8.669;15,2;16.707
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 30 a 34 años;4.893;8,2;4.426;7,2;9.319
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 35 a 39 años;1.951;4,8;1.698;4,3;3.649
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 40 a 44 años;1.654;3,1;1.382;2,6;3.036
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 45 a 49 años;1.420;2,7;987;1,8;2.407
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 50 a 54 años;1.307;2,5;836;1,6;2.143
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 55 a 59 años;1.088;2,2;629;1,3;1.717
PP010;Partido Ecologista Verde (PEV);2018;Ene - Mar;N° Militantes 60 a 64 años;761;1,5;477;0,9;1.238
