Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Requisitos de Afiliación;Procedimientos de afiliación;Link mayor información;Número total de afiliados
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados al Partido Ecologista Verde los ciudadanos mayores de dieciocho años, inscritos en los registros electorales que adhieren a la declaración de principios y programa, que aceptan y se rigen por su estatuto y que forman parte de su registro conforme a la ley.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: La solicitud de afiliación al Partido Ecologista Verde debe ser conocida y aceptada por el Consejo Regional que corresponda la comuna de sus inscripción electoral remitida a la Secretaría General del Partido;http://www.ecologistas.cl/organica/afiliados/;53.060
PP010;Partido Ecologista Verde (PEV);2017;Jul - Sep;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados al Partido Ecologista Verde los ciudadanos mayores de dieciocho años, inscritos en los registros electorales que adhieren a la declaración de principios y programa, que aceptan y se rigen por su estatuto y que forman parte de su registro conforme a la ley.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:El simpatizante se contactará con miembros de la directiva y consejo regional para conocer al equipo y sumarse a las actividades locales. Una vez confirmado su interés en participar, llenará y firmará la ficha de solicitud de afiliación ante el presidente y secretario regional. El presidente y secretario regional aprobarán la afiliación al firmar y enviar mediante correo físico la ficha original (se quedarán con una copia física) a O´Higgins 1104, Concepción. El presidente y secretario nacional firmarán y timbrarán la ficha, para luego comunicar al SERVEL e ingresar al nuevo afiliado en el registro nacional de afiliados. El secretario se quedará con una copia del documento original.;http://www.ecologistas.cl/organica/afiliados/;53.795
PP010;Partido Ecologista Verde (PEV);2018;Jul - Sep;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados del Partido Ecologista Verde las ciudadanos y los ciudadanos inscritos en los Registros Electorales que hayan suscrito la solicitud de afiliación y se encuentren incorporados al duplicado del Registro de Afiliados. .;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se contrare constituida, ante la Directiva Provincial. En el subsidio de las anteriores, se hará ante el Secretario General de la Directiva Nacional que será responsable del duplicado del Registro de Afiliados.;http://www.ecologistas.cl/organica/afiliados/;55.377
PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados al Partido Ecologista Verde los ciudadanos mayores de dieciocho años, inscritos en los registros electorales que adhieren a la declaración de principios y programa, que aceptan y se rigen por su estatuto y que forman parte de su registro conforme a la ley.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: La solicitud de afiliación al Partido Ecologista Verde debe ser conocida y aceptada por el Consejo Regional que corresponda la comuna de sus inscripción electoral remitida a la Secretaría General del Partido.;http://www.ecologistas.cl/organica/afiliados/;53.258
PP010;Partido Ecologista Verde (PEV);2018;Oct - Dic;Para incorporarse a nuestra colectividad, debe cumplir con los siguientes requisitos:Son afiliados del Partido Ecologista Verde las ciudadanos y los ciudadanos inscritos en los Registros Electorales que hayan suscrito la solicitud de afiliación y se encuentren incorporados al duplicado del Registro de Afiliados. .;El ingreso debe ser patrocinado por un afiliado al Partido y se hará ante la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se contrare constituida, ante la Directiva Provincial. En el subsidio de las anteriores, se hará ante el Secretario General de la Directiva Nacional que será responsable del duplicado del Registro de Afiliados.;http://www.ecologistas.cl/organica/afiliados/;55.478
PP011;Partido Evolución Política (Evópoli);2019;Ene- Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;22323
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;20088
PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;20763
PP011;Partido Evolución Política (Evópoli);2018;Abr -Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;20945
PP011;Partido Evolución Política (Evópoli);2017;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;20129
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Para incorporarse como militante a nuestra coletividad, debe cumplir con los siguientes requisitos:<br> 1. Ser mayor de Edad<br>2. Encontrarse habilitado para sufragar<br>3. No estar afiliado a ningún otro partido político<br>4. Concordar con nuestra declaración de principios;Para llevar a cabo su afiliación, debe realizar los siguientes pasos:<br>1. Presentar la cédula de identidad firmada a la directiva Regional correspondiente<br>2. Aceptar la normativa interna<br>3.Conocer y manifestar disposición a cumplir con las obligaciones establecidas en el artículo cuarto de los Estatutos del partido;http://www.evopoli.cl/nosotros;17.930
PP011;Partido Evolución Política (Evópoli);2019;Abr - Jun;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;21777
PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;21455
PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;20162
PP011;Partido Evolución Política (Evópoli);2018;Oct- Dic;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;21806
PP011;Partido Evolución Política (Evópoli);2017;Oct - Dic;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No estar afiliado a ningún otro partido político 4. Concordar con nuestra declaración de principios;La solicitud de afiliación debe presentarse ante el Secretario General, quien tendrá quince días hábiles para responder al interesado a través de los medios de comunicación señalados en la ficha de afiliación. En caso de rechazo, esta resolución deberá ser fundada. En ningún caso, podrán rechazarse solicitudes de afiliación por motivos que constituyan una acción de discriminación arbitraria. En caso de que la solicitud de afiliación sea rechazada, el requirente podrá recurrir de dicha resolución ante el Tribunal Supremo del Partido, dentro del plazo de cinco días hábiles, el que deberá resolver la controversia dentro de un plazo de diez días hábiles.;https://www.evopoli.cl/militantes2/;20249
PP014;Partido Humanista (PH);,http://www.partidohumanista.cl/afiliacion/,92487;Ene - Mar;Son afiliados del Partido Humanista, los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Son Podràn afiliarse al Partido Humanista los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Partido quien resolverá sobre la misma.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la ficha de inscripción 3. Pagar las primeras 3 cuotas 4. Recibir y reconfirmar la carta de aceptación que llegaría a su domicilio;http://www.partidohumanista.cl/afiliacion/;92534
PP014;Partido Humanista (PH);,http://www.partidohumanista.cl/afiliacion/,92487;Oct - Dic;Para incorporarse a nuestra coletividad, debe cumplir con los siguientes requisitos:1. Ser mayor de Edad 2. Encontrarse habilitado para sufragar 3. No haber sido sancionado o condenado por algún delito 4. No poseer deudas con el fisco 5. La solicitud de ingreso deberà formalizarse ante el Presidente del Partido quien resolverá sobre la misma, de acuerdo a los estatutos vigentes.,;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la ficha de inscripción 3. Pagar las primeras 3 cuotas 4. Recibir y reconfirmar la carta de aceptación que llegaría a su domicilio;http://www.partidohumanista.cl/afiliacion/;92487
PP014;Partido Humanista (PH);2019;Ene - Mar;Son afiliados del Partido Humanista, los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Son Podràn afiliarse al Partido Humanista los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Partido quien resolverá sobre la misma.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la ficha de inscripción 3. Recibir y reconfirmar la carta de aceptación que llegaría a su domicilio;http://www.partidohumanista.cl/afiliacion/;91848
PP014;Partido Humanista (PH);2019;Ene - Mar;Son afiliados del Partido Humanista, los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Son Podràn afiliarse al Partido Humanista los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Partido quien resolverá sobre la misma.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la ficha de inscripción 3. Recibir y reconfirmar la carta de aceptación que llegaría a su domicilio;http://www.partidohumanista.cl/afiliacion/;91572
PP014;Partido Humanista (PH);2019;Ene - Mar;Son afiliados del Partido Humanista, los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Son Podràn afiliarse al Partido Humanista los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Partido quien resolverá sobre la misma.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la ficha de inscripción 3. Pagar las primeras 3 cuotas 4. Recibir y reconfirmar la carta de aceptación que llegaría a su domicilio;http://www.partidohumanista.cl/afiliacion/;91848
PP014;Partido Humanista (PH);2018;Abr - Jun;Son afiliados del Partido Humanista, los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Son Podràn afiliarse al Partido Humanista los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Partido quien resolverá sobre la misma.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la ficha de inscripción 3. Pagar las primeras 3 cuotas 4. Recibir y reconfirmar la carta de aceptación que llegaría a su domicilio;http://www.partidohumanista.cl/afiliacion/;92534
PP014;Partido Humanista (PH);2018;Jul - Sep;Son afiliados del Partido Humanista, los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Son Podràn afiliarse al Partido Humanista los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Partido quien resolverá sobre la misma.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la ficha de inscripción 3. Pagar las primeras 3 cuotas 4. Recibir y reconfirmar la carta de aceptación que llegaría a su domicilio;http://www.partidohumanista.cl/afiliacion/;91848
PP014;Partido Humanista (PH);2018;Oct - Dic;Son afiliados del Partido Humanista, los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Son Podràn afiliarse al Partido Humanista los ciudadanos de cualquier sexo mayores de 18 años, inscritos en los registros electorales y que hayan suscrito los registros respectivos de la organización. La solicitud de ingreso deberá formalizarse ante el Presidente del Partido quien resolverá sobre la misma.;Para llevar a cabo su afiliación, debe realizar los siguientes pasos: 1. Asistir con su carnet de identidad a nuestra sede en su Región 2. Completar la ficha de inscripción 3. Pagar las primeras 3 cuotas 4. Recibir y reconfirmar la carta de aceptación que llegaría a su domicilio;http://www.partidohumanista.cl/afiliacion/;91848
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Para incorporarse al Partido Por la Democracia, debe cumplir con los siguientes requisitos: ser mayor de Edad, encontrarse habilitado para sufragar, no haber sido sancionado o condenado por algún delito, y completar la ficha de afiliación.;La afiliación debe ser patrocinada de conformidad al Reglamento de Afiliación y aprobada por la Directiva Comunal donde tenga su domicilio el interesado y si ésta no se encontrare constituida, por la Directiva Provincial o Distrital correspondiente. En caso de no funcionar ninguna de las anteriores, será competente la Directiva Regional. Un Reglamento de Afiliación establecerá el procedimiento de ingreso de los nuevos afiliados y la conformación del Registro Nacional de Afiliados.;https://www.ppd.cl/transparencia-interna/marco-normativo/requisitos-y-procedimientos-para-afiliarse-y-desafiliarse/;115.009
PP021;Partido Progresista (PRO);2018;Abr - Jun;No es factible afiliarse a este partido, ya que a contar del 8 de mayo se ha fusionado dando orígen al nuevo Partido País Progresista;el procedimiento a seguir es entrar a la web: progresistas.cl;http://progresistas.cl/marco-normativo/;0
