idcaso;IDInstitucion,;Institucion
37;eb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE ADUANAS"
38;3f5f3745-a109-e211-b576-00155d01e500;"SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES REGIÓN DE AYSÉN"
39;a35d3745-a109-e211-b576-00155d01e500;"SEREMI DE AGRICULTURA REGIÓN DE AYSÉN"
40;5d583745-a109-e211-b576-00155d01e500;"DIRECCIÓN GENERAL DEL TERRITORIO MARÍTIMO Y DE MARINA MERCANTE (DIRECTEMAR)"
41;a9583745-a109-e211-b576-00155d01e500;"DIRECCIÓN DEL TRABAJO"
42;8b573745-a109-e211-b576-00155d01e500;"MINISTERIO DE TRABAJO Y PREVISIÓN SOCIAL"
43;97573745-a109-e211-b576-00155d01e500;"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA"
44;37593745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE TELECOMUNICACIONES"
45;55583745-a109-e211-b576-00155d01e500;"CARABINEROS DE CHILE"
46;a1573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO"
47;ff5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE VITACURA"
48;95573745-a109-e211-b576-00155d01e500;"MINISTERIO SECRETARÍA GENERAL DE GOBIERNO"
49;ff573745-a109-e211-b576-00155d01e500;"COMISIÓN NACIONAL DE INVESTIGACIÓN CIENTÍFICA Y TECNOLÓGICA"
50;8d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE SALUD"
51;b5583745-a109-e211-b576-00155d01e500;"INSTITUTO DE PREVISIÓN SOCIAL (IPS)"
52;215f3745-a109-e211-b576-00155d01e500;"DIRECCIÓN GENERAL DE AGUAS REGIÓN DE AYSÉN"
53;a9583745-a109-e211-b576-00155d01e500;"DIRECCIÓN DEL TRABAJO"
54;ed573745-a109-e211-b576-00155d01e500;"SERVICIO DE IMPUESTOS INTERNOS"
55;b3583745-a109-e211-b576-00155d01e500;"SUPERINTENDENCIA DE PENSIONES"
56;85573745-a109-e211-b576-00155d01e500;"MINISTERIO DE OBRAS PÚBLICAS"
57;435f3745-a109-e211-b576-00155d01e500;"HOSPITAL REGIONAL DE ARICA "DR. JUAN NOÉ CREVANI""
58;55583745-a109-e211-b576-00155d01e500;"CARABINEROS DE CHILE"
59;8f583745-a109-e211-b576-00155d01e500;"SERVICIO AGRÍCOLA Y GANADERO (SAG)"
60;375a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE ISLA DE MAIPO"
61;8f583745-a109-e211-b576-00155d01e500;"SERVICIO AGRÍCOLA Y GANADERO (SAG)"
62;87573745-a109-e211-b576-00155d01e500;"MINISTERIO DE AGRICULTURA"
63;eb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE ADUANAS"
64;ff573745-a109-e211-b576-00155d01e500;"COMISIÓN NACIONAL DE INVESTIGACIÓN CIENTÍFICA Y TECNOLÓGICA"
65;135b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE PITRUFQUÉN"
66;615a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE LAS CONDES"
67;77573745-a109-e211-b576-00155d01e500;"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA"
68;25593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN DEL MAULE"
69;095c3745-a109-e211-b576-00155d01e500;"BANCO DEL ESTADO DE CHILE"
70;4f5f3745-a109-e211-b576-00155d01e500;"CONTRALORÍA REGIONAL DE VALPARAÍSO"
71;15583745-a109-e211-b576-00155d01e500;"UNIVERSIDAD DE VALPARAÍSO"
72;555f3745-a109-e211-b576-00155d01e500;"CONTRALORÍA REGIONAL DEL MAULE"
73;1f5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE PROVIDENCIA"
74;91573745-a109-e211-b576-00155d01e500;"MINISTERIO DE VIVIENDA Y URBANISMO"
75;535e3745-a109-e211-b576-00155d01e500;"SEREMI DE TRANSPORTES Y TELECOMUNICACIONES REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA"
76;cf573745-a109-e211-b576-00155d01e500;"SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES (SEC)"
77;875d3745-a109-e211-b576-00155d01e500;"SEREMI DE OBRAS PUBLICAS REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA"
78;7f573745-a109-e211-b576-00155d01e500;"MINISTERIO DE EDUCACIÓN"
79;93573745-a109-e211-b576-00155d01e500;"MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES"
80;39583745-a109-e211-b576-00155d01e500;"SERVICIO DE REGISTRO CIVIL E IDENTIFICACIÓN"
81;a95f3745-a109-e211-b576-00155d01e500;"PRESIDENCIA DE LA REPÚBLICA"
82;55583745-a109-e211-b576-00155d01e500;"CARABINEROS DE CHILE"
83;89573745-a109-e211-b576-00155d01e500;"MINISTERIO DE BIENES NACIONALES"
84;b5583745-a109-e211-b576-00155d01e500;"INSTITUTO DE PREVISIÓN SOCIAL (IPS)"
85;55583745-a109-e211-b576-00155d01e500;"CARABINEROS DE CHILE"
86;57583745-a109-e211-b576-00155d01e500;"POLICÍA DE INVESTIGACIONES DE CHILE"
87;77573745-a109-e211-b576-00155d01e500;"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA"
88;7d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE HACIENDA"
89;ed573745-a109-e211-b576-00155d01e500;"SERVICIO DE IMPUESTOS INTERNOS"
90;f1573745-a109-e211-b576-00155d01e500;"DIRECCIÓN NACIONAL DEL SERVICIO CIVIL"
91;4b583745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE CARABINEROS"
92;635f3745-a109-e211-b576-00155d01e500;"HOSPITAL DE OVALLE DR. ANTONIO TIRADO LANAS"
93;d1573745-a109-e211-b576-00155d01e500;"CORPORACIÓN DE FOMENTO DE LA PRODUCCIÓN (CORFO)"
94;c9593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE COLINA"
95;cb5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE TEMUCO"
96;ed573745-a109-e211-b576-00155d01e500;"SERVICIO DE IMPUESTOS INTERNOS"
97;79583745-a109-e211-b576-00155d01e500;"DIRECCIÓN DE VIALIDAD DEL MINISTERIO DE OBRAS PÚBLICAS"
98;475c3745-a109-e211-b576-00155d01e500;"CONTRALORÍA GENERAL DE LA REPÚBLICA"
99;ed5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE VALPARAÍSO"
100;79573745-a109-e211-b576-00155d01e500;"MINISTERIO DE RELACIONES EXTERIORES"
101;7f593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE LA CALERA"
102;fb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DEL PATRIMONIO CULTURAL"
103;bf583745-a109-e211-b576-00155d01e500;"INSTITUTO DE SALUD PÚBLICA DE CHILE"
104;bf583745-a109-e211-b576-00155d01e500;"INSTITUTO DE SALUD PÚBLICA DE CHILE"
105;995a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE MAIPÚ"
106;095c3745-a109-e211-b576-00155d01e500;"BANCO DEL ESTADO DE CHILE"
107;2f593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN DE AYSÉN"
108;c9593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE COLINA"
109;615a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE LAS CONDES"
110;ed573745-a109-e211-b576-00155d01e500;"SERVICIO DE IMPUESTOS INTERNOS"
111;ed573745-a109-e211-b576-00155d01e500;"SERVICIO DE IMPUESTOS INTERNOS"
112;2f583745-a109-e211-b576-00155d01e500;"GENDARMERÍA DE CHILE"
113;2f5c3745-a109-e211-b576-00155d01e500;"TELEVISIÓN NACIONAL DE CHILE (TVN)"
114;eb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE ADUANAS"
115;1f5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE PROVIDENCIA"
116;675b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE RENCA"
117;ed573745-a109-e211-b576-00155d01e500;"SERVICIO DE IMPUESTOS INTERNOS"
118;8d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE SALUD"
119;ab5d3745-a109-e211-b576-00155d01e500;"SEREMI DE BIENES NACIONALES REGIÓN DE ANTOFAGASTA"
120;475c3745-a109-e211-b576-00155d01e500;"CONTRALORÍA GENERAL DE LA REPÚBLICA"
121;8d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE SALUD"
122;b5583745-a109-e211-b576-00155d01e500;"INSTITUTO DE PREVISIÓN SOCIAL (IPS)"
123;29593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN DE LA ARAUCANÍA"
124;635b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE RECOLETA"
125;635b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE RECOLETA"
126;bd583745-a109-e211-b576-00155d01e500;"FONDO NACIONAL DE SALUD"
127;53593745-a109-e211-b576-00155d01e500;"CONSEJO DE MONUMENTOS NACIONALES (CMN)"
128;e55e3745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE PESCA REGIÓN DE AYSÉN"
129;cd5a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE O'HIGGINS"
130;6f593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE PUERTO AYSÉN"
131;e15b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE TORTEL"
132;f15c3745-a109-e211-b576-00155d01e500;"GOBERNACIÓN PROVINCIAL DE GENERAL CARRERA"
133;55583745-a109-e211-b576-00155d01e500;"CARABINEROS DE CHILE"
134;83583745-a109-e211-b576-00155d01e500;"SUPERINTENDENCIA DE SERVICIOS SANITARIOS"
135;0d593745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE GEOLOGÍA Y MINERÍA"
136;c15d3745-a109-e211-b576-00155d01e500;"SEREMI DE BIENES NACIONALES REGIÓN DE AYSÉN"
137;b5583745-a109-e211-b576-00155d01e500;"INSTITUTO DE PREVISIÓN SOCIAL (IPS)"
138;b5583745-a109-e211-b576-00155d01e500;"INSTITUTO DE PREVISIÓN SOCIAL (IPS)"
139;2f583745-a109-e211-b576-00155d01e500;"GENDARMERÍA DE CHILE"
140;89573745-a109-e211-b576-00155d01e500;"MINISTERIO DE BIENES NACIONALES"
141;37593745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE TELECOMUNICACIONES"
142;8f583745-a109-e211-b576-00155d01e500;"SERVICIO AGRÍCOLA Y GANADERO (SAG)"
143;8f583745-a109-e211-b576-00155d01e500;"SERVICIO AGRÍCOLA Y GANADERO (SAG)"
144;77573745-a109-e211-b576-00155d01e500;"MINISTERIO DEL INTERIOR Y SEGURIDAD PÚBLICA"
145;05593745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE MINERÍA"
146;11583745-a109-e211-b576-00155d01e500;"UNIVERSIDAD DE ATACAMA"
147;b3583745-a109-e211-b576-00155d01e500;"SUPERINTENDENCIA DE PENSIONES"
148;d75a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE OVALLE"
149;615a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE LAS CONDES"
150;d5583745-a109-e211-b576-00155d01e500;"SERVICIO DE SALUD VALPARAÍSO-SAN ANTONIO"
151;79583745-a109-e211-b576-00155d01e500;"DIRECCIÓN DE VIALIDAD DEL MINISTERIO DE OBRAS PÚBLICAS"
152;7f5c3745-a109-e211-b576-00155d01e500;"GOBIERNO REGIONAL REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA"
153;f95a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE PENCAHUE"
154;475d3745-a109-e211-b576-00155d01e500;"SEREMI DE EDUCACIÓN REGIÓN DE LOS LAGOS"
155;b7593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE COCHAMÓ"
156;dd573745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE HACIENDA"
157;3f583745-a109-e211-b576-00155d01e500;"CORPORACIÓN DE ASISTENCIA JUDICIAL DE LA REGIÓN METROPOLITANA"
158;81573745-a109-e211-b576-00155d01e500;"MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS"
159;615a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE LAS CONDES"
160;d1573745-a109-e211-b576-00155d01e500;"CORPORACIÓN DE FOMENTO DE LA PRODUCCIÓN (CORFO)"
161;eb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE ADUANAS"
162;f1573745-a109-e211-b576-00155d01e500;"DIRECCIÓN NACIONAL DEL SERVICIO CIVIL"
163;b3583745-a109-e211-b576-00155d01e500;"SUPERINTENDENCIA DE PENSIONES"
164;87583745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE AGRICULTURA"
165;8f583745-a109-e211-b576-00155d01e500;"SERVICIO AGRÍCOLA Y GANADERO (SAG)"
166;575b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE QUINTA NORMAL"
167;b1573745-a109-e211-b576-00155d01e500;"SERVICIO ELECTORAL"
168;2f583745-a109-e211-b576-00155d01e500;"GENDARMERÍA DE CHILE"
169;a1573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO"
170;29593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN DE LA ARAUCANÍA"
171;ed5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE VALPARAÍSO"
172;b55d3745-a109-e211-b576-00155d01e500;"SEREMI DE BIENES NACIONALES REGIÓN DEL LIBERTADOR BERNARDO O'HIGGINS"
173;6d593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE ARICA"
174;b5583745-a109-e211-b576-00155d01e500;"INSTITUTO DE PREVISIÓN SOCIAL (IPS)"
175;ab573745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE)"
176;ff593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE EL QUISCO"
177;7d593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CALDERA"
178;7d593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CALDERA"
179;7d593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CALDERA"
180;015a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE EL TABO"
181;a9583745-a109-e211-b576-00155d01e500;"DIRECCIÓN DEL TRABAJO"
182;d1573745-a109-e211-b576-00155d01e500;"CORPORACIÓN DE FOMENTO DE LA PRODUCCIÓN (CORFO)"
183;475c3745-a109-e211-b576-00155d01e500;"CONTRALORÍA GENERAL DE LA REPÚBLICA"
184;295b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE PUERTO MONTT"
185;7f573745-a109-e211-b576-00155d01e500;"MINISTERIO DE EDUCACIÓN"
186;375d3745-a109-e211-b576-00155d01e500;"SEREMI DE EDUCACIÓN REGIÓN DE COQUIMBO"
187;ef573745-a109-e211-b576-00155d01e500;"CONSEJO DE DEFENSA DEL ESTADO"
188;97573745-a109-e211-b576-00155d01e500;"MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA"
189;7f593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE LA CALERA"
190;8d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE SALUD"
191;7b573745-a109-e211-b576-00155d01e500;"MINISTERIO DE ECONOMÍA, FOMENTO Y TURISMO"
192;4b5d3745-a109-e211-b576-00155d01e500;"SEREMI DE EDUCACIÓN REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA"
193;2f583745-a109-e211-b576-00155d01e500;"GENDARMERÍA DE CHILE"
194;f95b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE VILLA ALEMANA"
195;29593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN DE LA ARAUCANÍA"
196;7b573745-a109-e211-b576-00155d01e500;"MINISTERIO DE ECONOMÍA, FOMENTO Y TURISMO"
197;1f593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN DE VALPARAÍSO"
198;7d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE HACIENDA"
199;41593745-a109-e211-b576-00155d01e500;"MINISTERIO DEL DEPORTE"
200;81573745-a109-e211-b576-00155d01e500;"MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS"
201;0d593745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE GEOLOGÍA Y MINERÍA"
202;095c3745-a109-e211-b576-00155d01e500;"BANCO DEL ESTADO DE CHILE"
203;55583745-a109-e211-b576-00155d01e500;"CARABINEROS DE CHILE"
204;b95d3745-a109-e211-b576-00155d01e500;"SEREMI DE BIENES NACIONALES REGIÓN DEL BÍO BÍO"
205;fd5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE VIÑA DEL MAR"
206;65593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CABO DE HORNOS Y ANTÁRTICA"
207;cb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE PESCA Y ACUICULTURA (SERNAPESCA)"
208;555b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE QUINTA DE TILCOCO"
209;cb583745-a109-e211-b576-00155d01e500;"SERVICIO DE SALUD ARICA"
210;cf593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE COMBARBALÁ"
211;ff5a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE PEÑALOLÉN"
212;41583745-a109-e211-b576-00155d01e500;"CORPORACIÓN DE ASISTENCIA JUDICIAL DE LA REGIÓN DEL BÍO BÍO"
213;f15e3745-a109-e211-b576-00155d01e500;"DIRECCIÓN DE VIALIDAD REGIÓN DE COQUIMBO"
214;d1593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CONCEPCIÓN"
215;8b573745-a109-e211-b576-00155d01e500;"MINISTERIO DE TRABAJO Y PREVISIÓN SOCIAL"
216;015a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE EL TABO"
217;495c3745-a109-e211-b576-00155d01e500;"SENADO"
218;eb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE ADUANAS"
219;fd5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE VIÑA DEL MAR"
220;475c3745-a109-e211-b576-00155d01e500;"CONTRALORÍA GENERAL DE LA REPÚBLICA"
221;475c3745-a109-e211-b576-00155d01e500;"CONTRALORÍA GENERAL DE LA REPÚBLICA"
222;57583745-a109-e211-b576-00155d01e500;"POLICÍA DE INVESTIGACIONES DE CHILE"
223;2b593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN DE LOS RÍOS"
224;b5583745-a109-e211-b576-00155d01e500;"INSTITUTO DE PREVISIÓN SOCIAL (IPS)"
225;4f583745-a109-e211-b576-00155d01e500;"EJÉRCITO DE CHILE"
226;1f593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN DE VALPARAÍSO"
227;91583745-a109-e211-b576-00155d01e500;"CORPORACIÓN NACIONAL FORESTAL Y DE PROTECCIÓN DE RECURSOS NATURALES RENOVABLES (CONAF)"
228;55583745-a109-e211-b576-00155d01e500;"CARABINEROS DE CHILE"
229;27583745-a109-e211-b576-00155d01e500;"UNIVERSIDAD ARTURO PRAT"
230;435a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE LA FLORIDA"
231;d1573745-a109-e211-b576-00155d01e500;"CORPORACIÓN DE FOMENTO DE LA PRODUCCIÓN (CORFO)"
232;21593745-a109-e211-b576-00155d01e500;"SERVICIO DE VIVIENDA Y URBANIZACIÓN DE LA REGIÓN METROPOLITANA DE SANTIAGO"
233;9b5b3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE SAN JOAQUÍN"
234;5d583745-a109-e211-b576-00155d01e500;"DIRECCIÓN GENERAL DEL TERRITORIO MARÍTIMO Y DE MARINA MERCANTE (DIRECTEMAR)"
235;7d593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CALDERA"
236;7d593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CALDERA"
237;eb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE ADUANAS"
238;a15a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE MARÍA PINTO"
239;655f3745-a109-e211-b576-00155d01e500;"DEPARTAMENTO PROVINCIAL DE EDUCACION CORDILLERA "
240;d1573745-a109-e211-b576-00155d01e500;"CORPORACIÓN DE FOMENTO DE LA PRODUCCIÓN (CORFO)"
241;ef5d3745-a109-e211-b576-00155d01e500;"SEREMI DE SALUD REGIÓN METROPOLITANA DE SANTIAGO"
242;cb5a3745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE ÑUÑOA"
243;8d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE SALUD"
244;a9583745-a109-e211-b576-00155d01e500;"DIRECCIÓN DEL TRABAJO"
245;f7573745-a109-e211-b576-00155d01e500;"SUBSECRETARÍA DE EDUCACIÓN"
246;6d593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE ARICA"
247;79583745-a109-e211-b576-00155d01e500;"DIRECCIÓN DE VIALIDAD DEL MINISTERIO DE OBRAS PÚBLICAS"
248;db593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE COPIAPÓ"
249;e1583745-a109-e211-b576-00155d01e500;"SERVICIO DE SALUD BÍO-BÍO"
250;55583745-a109-e211-b576-00155d01e500;"CARABINEROS DE CHILE"
251;bf583745-a109-e211-b576-00155d01e500;"INSTITUTO DE SALUD PÚBLICA DE CHILE"
252;c35d3745-a109-e211-b576-00155d01e500;"SEREMI DE BIENES NACIONALES REGIÓN DE MAGALLANES Y ANTÁRTICA CHILENA"
253;8d5c3745-a109-e211-b576-00155d01e500;"INTENDENCIA REGIÓN METROPOLITANA DE SANTIAGO"
254;f1573745-a109-e211-b576-00155d01e500;"DIRECCIÓN NACIONAL DEL SERVICIO CIVIL"
255;4b593745-a109-e211-b576-00155d01e500;"CORPORACIÓN NACIONAL DE DESARROLLO INDÍGENA"
256;81583745-a109-e211-b576-00155d01e500;"DIRECCIÓN GENERAL DE AGUAS (DGA)"
257;8d573745-a109-e211-b576-00155d01e500;"MINISTERIO DE SALUD"
258;53593745-a109-e211-b576-00155d01e500;"CONSEJO DE MONUMENTOS NACIONALES (CMN)"
259;fb573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DEL PATRIMONIO CULTURAL"
260;d7573745-a109-e211-b576-00155d01e500;"SERVICIO NACIONAL DE TURISMO"
261;675f3745-a109-e211-b576-00155d01e500;"CONSEJO REGIONAL DE VALPARAÍSO"
262;595c3745-a109-e211-b576-00155d01e500;"FISCALIA LA CALERA"
263;7f593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE LA CALERA"
264;7d593745-a109-e211-b576-00155d01e500;"MUNICIPALIDAD DE CALDERA"
265;e3573745-a109-e211-b576-00155d01e500;"TESORERÍA GENERAL DE LA REPÚBLICA"
266;53583745-a109-e211-b576-00155d01e500;"FUERZA AÉREA DE CHILE"
267;8f583745-a109-e211-b576-00155d01e500;"SERVICIO AGRÍCOLA Y GANADERO (SAG)"
