Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Unidades u órganos internos;Facultades, funciones y atribuciones
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Congreso Nacional;El Congreso Nacional es el organismo en que reside la suprema autoridad, y podrá ser convocado por acuerdo de la Junta Nacional, en virtud del artículo 26, inciso final, de la ley 18.603, como un evento de carácter consultivo y resolutivo, como también de carácter programático o ideológico. El carácter resolutivo sólo será sobre aquellas materias que sean atribuciones de la Junta Nacional. El objeto del Congreso Nacional debe ser delimitado por la Junta Nacional en su convocatoria. No obstante, deberán ratificarse por la Junta Nacional y los militantes en plebiscito los acuerdos del Congreso Nacional que versen sobre las modificaciones de la declaración de principios, la reforma de estatutos, la disolución del partido y la fusión con otro. La Convocatoria la formulará la Junta Nacional con un año de anticipación a la fecha de celebración del Congreso. En el mismo acto de la convocatoria, deberá designarse una Comisión Organizadora de nueve miembros, la que estará sujeta a la tuición del Consejo Nacional. Serán miembros del Congreso Nacional los integrantes de la Junta Nacional, y los congresales, electos especialmente para este efecto. Se dictará un reglamento para la elección de estos delegados y el funcionamiento del Congreso.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Junta Nacional;La Junta Nacional será el órgano plural, con carácter normativo y resolutivo del partido político. Sus miembros serán elegidos en conformidad con lo dispuesto en los estatutos del partido. Corresponderá a la Junta Nacional: a) Impartir orientaciones y adoptar acuerdos sobre cualquier aspecto de la marcha del partido, que serán obligatorios para la Directiva Nacional y todos los órganos y militantes del partido. b) Impartir orientaciones sobre las políticas públicas relevantes para el partido y el país. c) Aprobar o rechazar el correspondiente balance anual de la Directiva Nacional. d) Aprobar, a propuesta de la Directiva Central, las modificaciones a las declaraciones de principios, nombre del partido, programas partidarios, estatutos y reglamentos internos, como, asimismo, los pactos electorales, fusión con otro u otros partidos y su disolución. Las modificaciones de la declaración de principios, la reforma de estatutos, la disolución del partido y la fusión deberán hacerse en conformidad con lo dispuesto en el artículo 29, inciso primero de la ley 18.603, convocándose a plebiscito a toda la militancia por parte de la Junta Nacional en una fecha dentro de los 45 días siguientes a la aprobación. Las propuestas deberán ser puestas en conocimiento de la Junta Nacional con a lo menos 30 días de anticipación del día acordado para tratarlas. e) Recibir anualmente la cuenta política de la Directiva Nacional y pronunciarse sobre ella. f) Designar los candidatos a presidente de la República, diputados, senadores, consejeros regionales, alcaldes, concejales y cualquier otro candidato a elecciones populares del partido, sin perjuicio de aquellos que se determinen de conformidad con la ley N°20.640. g) Aprobar el programa del partido. i) A sus integrantes y participantes, elegir los miembros del Consejo Nacional que le corresponda j) Pronunciarse sobre cualquier otro asunto que el Consejo Nacional o la Directiva Nacional sometan a su conocimiento o decisión k) Acordar la convocatoria al Congreso Nacional del Partido y fijar la fecha de su realización l) Las demás funciones que establezca la Ley Orgánica Constitucional de Partidos Políticos, y otros cuerpos legales. Sin perjuicio de las funciones del Órgano Intermedio Colegiado, este podrá organizar y celebrar eventos partidarios con carácter consultivo o resolutivo, como también de carácter programático o ideológico, de acuerdo a sus estatutos. Sólo podrá convocarse a eventos partidarios con carácter resolutivo sobre aquellas materias que sean atribuciones propias de la Junta Nacional. La Junta Nacional podrá delegar estas facultades en el Congreso Nacional, convocado según el inciso final del artículo 26 de la ley 18.603. posteriormente estos acuerdos deberán ser ratificados por la misma Junta Nacional. En el caso que la Junta Nacional decida modificar la declaración de principios, el nombre del partido, fusión o disolución, estas deberán aprobarse en ella con un quórum de dos tercios de los miembros de la Junta. La Junta Nacional podrá reunirse extraordinariamente convocada por la Directiva Nacional, por la mayoría del Consejo Nacional, o, por la tercera parte de los miembros de la propia Junta. En las Juntas Extraordinarias los acuerdos sólo podrán versar sobre las materias incluidas en la convocatoria. Los acuerdos de la Junta Nacional serán públicos y deberán publicarse en el sitio web del Partido. El funcionamiento de la Junta consultará la modalidad de trabajo de Comisiones y Plenario.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Directiva Nacional;El Órgano Ejecutivo del Partido Demócrata Cristiano lo constituye su Directiva Nacional, la cual está integrada por un Presidente Nacional, siete vicepresidentes y un Secretario Nacional. Corresponde a la Directiva Nacional: a) Representar al Partido, dirigirlo y ejecutar los acuerdos adoptados por la Junta Nacional, el Consejo Nacional y los organismos superiores de decisión política: b) Promover la difusión de los Principios del Partido, la elaboración doctrinaria y la capacitación delos Militantes: c) Coordinar y organizar la labor del Partido a través de los Consejos Regionales y Directivas Distritales y demás organismos partidarios: d) Impulsar la preparación y actualización de los planes y estudios técnicos y su divulgación: e) Crear con acuerdo del Consejo Nacional, organismos especiales no contemplados en el presente Estatuto: f) Citar a las autoridades de cualquier organismo del Partido para que informen sobre la marcha de éstos: g) Designar a los Directores de equipos y comisiones de trabajo que estime necesario: h) Dar cuenta de la marcha del Partido, a lo menos una vez al mes, al Consejo Nacional y a lo menos una vez al año a la Junta Nacional: i) Suspender provisionalmente los acuerdos de organismos del Partido que estime contrarios a los Estatutos o al interés del Partido debiendo convocar en el plazo máximo de quince días al Consejo Nacional para que se pronuncie al respecto: j) Suspender preventivamente a los Militantes del Partido, cuando a su juicio contravengan manifiestamente acuerdos políticos, o, cuando hagan declaraciones o incurran en conductas que comprometan la línea o la responsabilidad política del Partido: k) Amonestar a los organismos de nivel inferior al Consejo Nacional y a los miembros o Militantes que no cumplan con sus deberes, estando facultado para someter a la consideración de un Tribunal partidario cualquier asunto que estime procedente: l) Fijar, por acuerdo de la mayoría de sus miembros y por intermedio de la Secretaría Nacional, las urgencias en la tramitación de causas disciplinarias que se sustancien ante cualquier tribunal partidario, pudiendo a la vez exigir la realización de cualquier diligencia que estime conveniente en la tramitación de un proceso ante ellos: m) Solicitar la intervención del Tribunal Supremo en materias que sean de competencia de los tribunales regionales: n) Definir e implementar planes, programas y políticas para fomentar y asegurar la igualdad de oportunidades, y la equidad de género, tendientes principalmente a la incorporación plena de las mujeres tanto en las instancias de dirección y elección como en las instituciones del país.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Consejo Nacional;El Órgano Intermedio Colegiado del Partido Demócrata Cristiano lo constituye su Consejo Nacional, el cual está integrado por los siguientes militantes: a) los miembros de la Directiva Nacional: b) El Presidente Nacional de la Juventud: c) Los Presidentes Regionales: d) Dieciocho Consejeros de libre elección por la Junta Nacional: e) Los Jefes de Bancada de Senadores y Diputados del Partido: f) Los presidentes de los frentes y departamentos que, según acreditación efectuada por el Tribunal Supremo, hayan realizado sus procesos de elección interna: g) El primer vicepresidente del departamento municipal, en representación de los concejales: h) El o la Militante que presida la Confederación de Uniones Comunales de Juntas de Vecinos: i) La Subsecretaria Nacional de la Mujer: j) El Subsecretario Nacional: k) El Subsecretario de Regiones. Corresponde al Consejo Nacional: a) Conducir al Partido en conformidad con los acuerdos del Congreso y de la Junta Nacional: b) Evaluar el cumplimiento de los acuerdos políticos por parte de los distintos organismos del Partido: c) Dictar, con aprobación de la mayoría de sus miembros los reglamentos e instrucciones necesarias para el buen funcionamiento de los organismos partidarios: d) Proponer, y designar a militantes del Partido para cargos o funciones públicas a proposición de la Directiva Nacional: e) Designar a propuesta de la Directiva Nacional, al Subsecretario Nacional quien dependerá del Secretario Nacional del Partido y que actuará como Secretario de Actas de la Junta, Consejo y Directiva Nacional: f) Designar un mediador por simple mayoría de sus miembros en caso de conflicto en cualquier instancia partidaria, con excepción de la Junta Nacional, Consejo Nacional, Directiva Nacional y Tribunal Supremo: g) Elegir a los integrantes del Tribunal Supremo: h) Designar a las autoridades de los organismos del Partido que no se constituyan: i) Designar la Comisión Organizadora del Congreso Nacional del Partido: j) Designar personeros oficiales que representen al Partido en Congresos o reuniones Nacionales e internacionales a las que concurra el Partido. k) Pronunciarse sobre las solicitudes de ingreso al Partido en casos especiales y, en particular, sobre las solicitudes de reincorporación, sea que el afectado haya dejado de ser militantes por renuncia, expulsión o eliminación de los registros: l) Pronunciarse sobre la suspensión preventiva de la calidad de militante, hasta el pronunciamiento definitivo del Tribunal pertinente: m) Elegir los integrantes de los Tribunales Regionales y Distritales Electorales: n) Designar a propuesta de la Directiva Nacional, a la Subsecretaria Nacional de la Mujer.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Tribunal Supremo;El Tribunal Supremo es la máxima autoridad jurisdiccional del Partido Demócrata Cristiano y le corresponde especialmente la facultad de conocer, juzgar y sancionar las faltas disciplinarias de los militantes y resolver las cuestiones electorales y de competencia. El Tribunal estará constituido por quince miembros titulares y quince suplentes. Corresponde al Tribunal Supremo: a) Interpretar de oficio el Estatuto y los Reglamentos en las causas que conozca o cuando lo requieran las autoridades de nivel Nacional, algún miembro del Consejo Nacional o las directivas políticas del nivel regional, distrital o comunal: b) Conocer de las cuestiones de competencia que se susciten entre autoridades y organismos de nivel Nacional, o entre autoridades y organismos de nivel provincial o regional, pero de áreas distintas: c) Conocer de las reclamaciones que se entablen contra actos de autoridades u organismos del Partido que sean estimados violatorios de la Declaración de Principios o de los Estatutos y adoptar las medidas necesarias para corregirlos y enmendar sus resultados: d) Conocer en única instancia de las denuncias o requerimientos que se le formulen y de las faltas a la disciplina en que incurra algún miembro del Consejo Nacional, de la Junta Nacional o de un Tribunal Regional: e) Conocer de las apelaciones que se interpongan contra las resoluciones de los Tribunales de primera instancia, como asimismo de los recursos de queja en contra de los miembros de dichos Tribunales: f) Ejercer las más amplias facultades de organización y fiscalización sobre los Tribunales Regionales y Distritales Electorales, pudiendo impartir normas o instrucciones obligatorias de carácter general: g) Actuar de oficio cuando tenga conocimiento por cualquier medio de actitudes o conductas de Militantes que a su juicio hagan imperioso el inmediato juzgamiento, o por denuncia de la Directiva de cualquier organismo Nacional del Partido, o de algún miembro del Consejo Nacional: h) Informar al Consejo Nacional acerca de la reincorporación al Partido, de personas que hayan dejado de pertenecer a él por cualquier causa: i) Controlar el desarrollo de las elecciones y votaciones partidarias, y dictar las instrucciones generales o especiales que para tal efecto correspondan: j) Organizar y fiscalizar las elecciones del nivel Nacional y proclamar sus resultados, y supervigilar las elecciones del nivel comunal: k) Proponer al Consejo Nacional las fechas en que deberán efectuarse las elecciones en los diferentes niveles: l) Declarar, con informe del Tribunal Regional o Distrital respectivo, la nulidad de un acto eleccionario. n) Conocer y juzgar las causas que estos Estatutos radiquen en los Tribunales Regionales y Distritales Electorales, cuando estos no se encuentren constituidos
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Secretaría Nacional;Corresponde especialmente: a) Activar y coordinar la acción de los organismos del Partido en los niveles territorial y funcional, para cuyo efecto tendrá bajo su dirección superior los organismos de la línea de apoyo administrativo. Para el mismo efecto, estos organismos están obligados a cumplir los requerimientos que le sean formulados por el Secretario Nacional. b) Conocer de todas las actividades del Partido y ser Ministro de Fe en todas las instancias partidarias en las que la ley o los estatutos no especifiquen otra autoridad. Deberá, además, registrar los acuerdos de los mismos y mantener la custodia de la documentación y la correspondencia. c) Supervisar al Subsecretario Nacional y al Subsecretario de Regiones, y el cumplimiento de sus funciones. d) Recibir las solicitudes de ingreso al Partido, no obstante, la facultad de los secretarios regionales, para efectos de que la directiva nacional pueda comunicar las nuevas militancias al SERVEL, conforme la ley.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Directiva Regional, Distrital o Regional;Se les asignará, entre otras, las siguientes responsabilidades: a) Organización y movilización de entidades funcionales y sociales b) Formación y elaboración doctrinaria e ideológica c) Administración y Finanzas d) Asesoría Político - Técnica e) Comunicaciones. f) Fomentar y asegurar la igualdad de oportunidades entre mujeres y hombres, y la equidad de género.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Directiva Comunal;Tendrá las siguientes funciones: a) Establecer las orientaciones políticas a nivel comunal. b) Organizar las Bases Vecinales, los Frentes y Departamento y velar por su adecuado funcionamiento. c) Difundir la Doctrina del Partido y promover la formación de sus Militantes. Para este efecto, deberá procurar, requiriéndolo de los niveles superiores, la realización de cursos de formación y capacitación doctrinaria e ideológica. d) Proyectar al Partido en las organizaciones vecinales, comunitarias y sociales de la Comuna y promover su creación si no las hubiere. e) Designar a los Directores de Equipos y Comisiones de Trabajo que estime necesario para la acción del Partido en la Comuna y, en particular, la Comisión de Desarrollo Comunal, contribuyendo a la elaboración y promoción de los programas destinados a tal fin. f) Cumplir los acuerdos de las instancias directivas superiores e informar al Consejo Comunal. g) Controlar la adecuada ejecución de las tareas relativas a organización y control, financiamiento, movilización social y comunicaciones. h) Definir e implementar acciones orientadas a fomentar y asegurar la igualdad de oportunidades, y la equidad de género, promoviendo la participación de las mujeres en cada una de las instancias comunales i) Llevar un libro de asistencia obligatorio, certificando al final de cada año la asistencia de cada militante. La Comuna es la estructura fundamental del Partido que desarrolla su acción en Asambleas o través de las Bases Vecinales.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Directiva Bases Comunales;El Consejo Comunal, establecerá libremente sobre la base de pautas mínimas reglamentadas o aprobadas por la Junta Nacional del Partido, la forma de organización de las Bases Vecinales.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Junta Regional;Serán funciones de la Junta Regional: a) Promover planes, programas o políticas de desarrollo regional b) Promover políticas de descentralización c) Coordinar la organización electoral del Partido, especialmente respecto de las elecciones de Senadores d) Estudiar y proponer al Consejo Nacional del Partido, nuevas funciones o actividades que tiendan a perfeccionar las tareas del Partido a nivel Regional f) Elegir por la mayoría absoluta de sus miembros en ejercicio a los integrantes del Tribunal Regional, comunicando tal decisión al Tribunal Supremo. g) Designar a propuesta de la Directiva Regional, a la Subsecretaria de la Mujer Regional, quién dependerá de la Vicepresidencia Regional del Partido encargada del tema de igualdad de oportunidades entre mujeres y hombres, y equidad de género, la que tendrá por función fomentar, coordinar y apoyar la participación de las mujeres al interior de la estructura partidaria. h) Promover iniciativas y acciones para fomentar y asegurar la igualdad de oportunidades y la equidad de género.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Junta Comunal;Corresponde a la Junta Comunal: a) Estudiar los problemas de interés local, regional y Nacional, debatirlos y proponer la acción del Partido a quien corresponda en cada nivel de la estructura b) Evaluar la marcha del Partido y señalar los lineamientos de la acción de las Bases Vecinales, Frentes y Departamentos. Evaluar la cuenta anual de la Directiva Comunal.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Tribunal Regional;A nivel regional y para cada una de las regiones del país, existirá un Tribunal denominado Tribunal Regional. El Tribunal Regional estará compuesto por 5 miembros titulares y 5 miembros suplentes. Estos serán electos por mayoría absoluta de las Juntas Regionales, donde sus miembros votarán por 5 nombres, resguardando votar por un máximo del 60 por ciento de un mismo sexo. Se votará previa audiencia de los candidatos. Se hará una votación para los titulares y otra para los suplentes, siguiendo las mismas normas. A lo menos uno de sus integrantes deberá contar con título de abogado. Los suplentes integrarán el Tribunal por impedimento temporal o definitivo de alguno de los titulares. Tanto titulares como suplentes deberán tener a lo menos 4 años de militancia. Los miembros pueden ser electos hasta dos veces consecutivamente. Los Tribunales Regionales podrán funcionar para la competencia en lo electoral y en lo disciplinario, según lo determine el Tribunal Supremo. Independientemente del número total de integrantes que tengan, los tribunales regionales sesionarán con mayoría absoluta de los miembros en ejercicio. En cuanto a la prelación de los miembros, el acceso a la titularidad de los suplentes y las vacancias de los mismos, se aplicarán las normas que sobre estas materias rigen para el Tribunal Supremo. Su sede será la capital regional respectiva. El Tribunal Regional conocerá en primera instancia y en relación al ámbito regional, de las materias contempladas en la normativa interna, y a lo menos las establecidas en las letras c), d), e), f) y g) del artículo 28 de la ley 18. 603.Las sentencias de los tribunales regionales serán apelables para ante el Tribunal Supremo, en la forma y plazos que establezca a través de un reglamento emanado por el Tribunal Supremo. Si la sentencia definitiva dispone la expulsión de un afiliado, y de ella no se reclamare, se elevará en consulta al Tribunal Supremo.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Consejo Comunal;El Consejo Comunal estará integrado por los miembros de la Directiva Comunal, el presidente de la Juventud Demócrata Cristiana Comunal, la subsecretaria comunal de la mujer, el alcalde demócrata cristiano y también los concejales si los hubiere, los miembros de la Junta Nacional de la Comuna y los Dirigentes Sociales de la Comuna, Militantes en el número, calidad y forma que determine el reglamento respectivo. El Consejo Comunal, será el organismo territorial de evaluación y de conducción de la acción política a nivel comunal dentro de los lineamientos entregados por la Junta respectiva, correspondiéndole adoptar los acuerdos necesarios para el buen funcionamiento de la Comuna.
PP009;Partido Demócrata Cristiano (PDC);2019;Abr - Jun;Frentes y Departamentos;Su función será la de aprovechar toda la capacidad profesional y de análisis presente en el Partido, de modo de elaborar y ejecutar un solo plan nacional de formación que sea ejecutado puesto en práctica en todas las estructuras territoriales y funcionales del Partido Demócrata Cristiano, preocupándose de respetar las diversas características e intereses de los militantes del Partido.
