idCaso;IdMotivo;Motivo
411;11;Oposición de un tercero
412;2;No recibió respuesta a su solicitud
413;2;No recibió respuesta a su solicitud
414;1;Respuesta negativa a la solicitud de información
414;12;Otras
415;12;Otras
415;1;Respuesta negativa a la solicitud de información
416;1;Respuesta negativa a la solicitud de información
416;11;Oposición de un tercero
417;2;No recibió respuesta a su solicitud
418;2;No recibió respuesta a su solicitud
419;2;No recibió respuesta a su solicitud
420;1;Respuesta negativa a la solicitud de información
420;12;Otras
421;1;Respuesta negativa a la solicitud de información
422;2;No recibió respuesta a su solicitud
422;12;Otras
423;1;Respuesta negativa a la solicitud de información
424;1;Respuesta negativa a la solicitud de información
424;12;Otras
425;10;La información solicitada está en posesión de otro órgano o servicio
425;1;Respuesta negativa a la solicitud de información
426;3;La información entregada no corresponde a la solicitada
427;1;Respuesta negativa a la solicitud de información
427;6;Debido funcionamiento del órgano/servicio
428;3;La información entregada no corresponde a la solicitada
428;12;Otras
429;12;Otras
429;3;La información entregada no corresponde a la solicitada
430;2;No recibió respuesta a su solicitud
431;3;La información entregada no corresponde a la solicitada
432;2;No recibió respuesta a su solicitud
433;2;No recibió respuesta a su solicitud
434;1;Respuesta negativa a la solicitud de información
434;12;Otras
435;4;Otras
436;1;Respuesta negativa a la solicitud de información
436;12;Otras
437;3;La información entregada no corresponde a la solicitada
438;2;No recibió respuesta a su solicitud
439;1;Respuesta negativa a la solicitud de información
439;11;Oposición de un tercero
440;1;Respuesta negativa a la solicitud de información
440;5;Seguridad nacional
441;3;La información entregada no corresponde a la solicitada
441;12;Otras
442;12;Otras
442;1;Respuesta negativa a la solicitud de información
443;2;No recibió respuesta a su solicitud
444;2;No recibió respuesta a su solicitud
445;2;No recibió respuesta a su solicitud
446;4;Otras
446;12;Otras
447;2;No recibió respuesta a su solicitud
448;1;Respuesta negativa a la solicitud de información
448;6;Debido funcionamiento del órgano/servicio
449;6;Debido funcionamiento del órgano/servicio
449;1;Respuesta negativa a la solicitud de información
450;1;Respuesta negativa a la solicitud de información
450;12;Otras
451;12;Otras
451;3;La información entregada no corresponde a la solicitada
452;2;No recibió respuesta a su solicitud
453;2;No recibió respuesta a su solicitud
454;2;No recibió respuesta a su solicitud
455;1;Respuesta negativa a la solicitud de información
455;11;Oposición de un tercero
456;3;La información entregada no corresponde a la solicitada
457;2;No recibió respuesta a su solicitud
458;2;No recibió respuesta a su solicitud
459;3;La información entregada no corresponde a la solicitada
459;4;Otras
459;11;Oposición de un tercero
459;12;Otras
460;1;Respuesta negativa a la solicitud de información
460;6;Debido funcionamiento del órgano/servicio
461;6;Debido funcionamiento del órgano/servicio
461;1;Respuesta negativa a la solicitud de información
461;12;Otras
462;12;Otras
462;2;No recibió respuesta a su solicitud
463;2;No recibió respuesta a su solicitud
465;3;La información entregada no corresponde a la solicitada
466;2;No recibió respuesta a su solicitud
467;3;La información entregada no corresponde a la solicitada
467;8;No se encuentra la información
468;2;No recibió respuesta a su solicitud
469;3;La información entregada no corresponde a la solicitada
470;2;No recibió respuesta a su solicitud
471;2;No recibió respuesta a su solicitud
471;12;Otras
472;12;Otras
472;2;No recibió respuesta a su solicitud
473;2;No recibió respuesta a su solicitud
473;12;Otras
474;12;Otras
474;2;No recibió respuesta a su solicitud
475;2;No recibió respuesta a su solicitud
475;12;Otras
476;2;No recibió respuesta a su solicitud
477;2;No recibió respuesta a su solicitud
477;12;Otras
478;1;Respuesta negativa a la solicitud de información
479;3;La información entregada no corresponde a la solicitada
480;2;No recibió respuesta a su solicitud
481;1;Respuesta negativa a la solicitud de información
481;10;La información solicitada está en posesión de otro órgano o servicio
482;1;Respuesta negativa a la solicitud de información
482;6;Debido funcionamiento del órgano/servicio
483;2;No recibió respuesta a su solicitud
484;2;No recibió respuesta a su solicitud
485;1;Respuesta negativa a la solicitud de información
485;6;Debido funcionamiento del órgano/servicio
486;1;Respuesta negativa a la solicitud de información
486;3;La información entregada no corresponde a la solicitada
486;12;Otras
487;2;No recibió respuesta a su solicitud
488;1;Respuesta negativa a la solicitud de información
488;11;Oposición de un tercero
488;6;Debido funcionamiento del órgano/servicio
488;7;Interés nacional
489;12;Otras
489;2;No recibió respuesta a su solicitud
490;1;Respuesta negativa a la solicitud de información
490;4;Otras
490;12;Otras
490;11;Oposición de un tercero
491;12;Otras
491;2;No recibió respuesta a su solicitud
492;2;No recibió respuesta a su solicitud
493;1;Respuesta negativa a la solicitud de información
493;11;Oposición de un tercero
494;1;Respuesta negativa a la solicitud de información
494;6;Debido funcionamiento del órgano/servicio
495;2;No recibió respuesta a su solicitud
496;2;No recibió respuesta a su solicitud
497;13;La información no está disponible en forma permanente
497;14;El acceso a la información no es expedito
498;2;No recibió respuesta a su solicitud
499;4;Otras
500;2;No recibió respuesta a su solicitud
501;1;Respuesta negativa a la solicitud de información
501;11;Oposición de un tercero
502;12;Otras
502;1;Respuesta negativa a la solicitud de información
503;2;No recibió respuesta a su solicitud
503;12;Otras
504;11;Oposición de un tercero
504;1;Respuesta negativa a la solicitud de información
505;3;La información entregada no corresponde a la solicitada
506;1;Respuesta negativa a la solicitud de información
507;1;Respuesta negativa a la solicitud de información
507;3;La información entregada no corresponde a la solicitada
507;12;Otras
508;2;No recibió respuesta a su solicitud
509;2;No recibió respuesta a su solicitud
510;2;No recibió respuesta a su solicitud
510;12;Otras
511;1;Respuesta negativa a la solicitud de información
511;5;Seguridad nacional
512;5;Seguridad nacional
512;1;Respuesta negativa a la solicitud de información
513;1;Respuesta negativa a la solicitud de información
513;6;Debido funcionamiento del órgano/servicio
514;2;No recibió respuesta a su solicitud
515;2;No recibió respuesta a su solicitud
516;3;La información entregada no corresponde a la solicitada
517;1;Respuesta negativa a la solicitud de información
517;6;Debido funcionamiento del órgano/servicio
518;1;Respuesta negativa a la solicitud de información
518;11;Oposición de un tercero
519;2;No recibió respuesta a su solicitud
520;1;Respuesta negativa a la solicitud de información
520;11;Oposición de un tercero
521;2;No recibió respuesta a su solicitud
522;2;No recibió respuesta a su solicitud
523;1;Respuesta negativa a la solicitud de información
523;12;Otras
524;2;No recibió respuesta a su solicitud
525;2;No recibió respuesta a su solicitud
526;2;No recibió respuesta a su solicitud
526;12;Otras
527;2;No recibió respuesta a su solicitud
528;3;La información entregada no corresponde a la solicitada
528;4;Otras
529;1;Respuesta negativa a la solicitud de información
529;12;Otras
530;12;Otras
530;1;Respuesta negativa a la solicitud de información
531;1;Respuesta negativa a la solicitud de información
531;8;No se encuentra la información
532;2;No recibió respuesta a su solicitud
533;2;No recibió respuesta a su solicitud
534;3;La información entregada no corresponde a la solicitada
534;12;Otras
535;2;No recibió respuesta a su solicitud
536;2;No recibió respuesta a su solicitud
537;3;La información entregada no corresponde a la solicitada
537;11;Oposición de un tercero
538;2;No recibió respuesta a su solicitud
539;1;Respuesta negativa a la solicitud de información
539;6;Debido funcionamiento del órgano/servicio
540;2;No recibió respuesta a su solicitud
541;4;Otras
542;2;No recibió respuesta a su solicitud
543;2;No recibió respuesta a su solicitud
544;2;No recibió respuesta a su solicitud
545;4;Otras
546;4;Otras
547;2;No recibió respuesta a su solicitud
548;4;Otras
549;2;No recibió respuesta a su solicitud
550;2;No recibió respuesta a su solicitud
551;2;No recibió respuesta a su solicitud
552;1;Respuesta negativa a la solicitud de información
552;6;Debido funcionamiento del órgano/servicio
553;2;No recibió respuesta a su solicitud
554;4;Otras
555;2;No recibió respuesta a su solicitud
556;2;No recibió respuesta a su solicitud
557;2;No recibió respuesta a su solicitud
558;4;Otras
559;15;La información es incompleta
559;23;Actos y resoluciones con efectos sobre terceros
560;2;No recibió respuesta a su solicitud
561;2;No recibió respuesta a su solicitud
562;2;No recibió respuesta a su solicitud
563;3;La información entregada no corresponde a la solicitada
564;3;La información entregada no corresponde a la solicitada
565;2;No recibió respuesta a su solicitud
566;16;La información está desactualizada
567;6;Debido funcionamiento del órgano/servicio
567;2;No recibió respuesta a su solicitud
568;4;Otras
569;3;La información entregada no corresponde a la solicitada
569;12;Otras
570;3;La información entregada no corresponde a la solicitada
571;2;No recibió respuesta a su solicitud
572;2;No recibió respuesta a su solicitud
573;3;La información entregada no corresponde a la solicitada
573;11;Oposición de un tercero
574;2;No recibió respuesta a su solicitud
575;4;Otras
575;10;La información solicitada está en posesión de otro órgano o servicio
576;11;Oposición de un tercero
576;1;Respuesta negativa a la solicitud de información
576;3;La información entregada no corresponde a la solicitada
577;2;No recibió respuesta a su solicitud
578;1;Respuesta negativa a la solicitud de información
578;9;La información no existe
579;2;No recibió respuesta a su solicitud
580;1;Respuesta negativa a la solicitud de información
580;11;Oposición de un tercero
581;20;Entidades en que el organismo tiene participación, representación e intervención
581;15;La información es incompleta
581;27;Transferencias de fondos públicos
581;26;Contrataciones
582;2;No recibió respuesta a su solicitud
583;2;No recibió respuesta a su solicitud
584;4;Otras
585;1;Respuesta negativa a la solicitud de información
586;3;La información entregada no corresponde a la solicitada
586;12;Otras
587;1;Respuesta negativa a la solicitud de información
587;6;Debido funcionamiento del órgano/servicio
588;1;Respuesta negativa a la solicitud de información
588;4;Otras
588;12;Otras
589;2;No recibió respuesta a su solicitud
590;2;No recibió respuesta a su solicitud
591;4;Otras
591;12;Otras
592;12;Otras
592;1;Respuesta negativa a la solicitud de información
593;1;Respuesta negativa a la solicitud de información
593;4;Otras
593;6;Debido funcionamiento del órgano/servicio
594;2;No recibió respuesta a su solicitud
595;2;No recibió respuesta a su solicitud
596;2;No recibió respuesta a su solicitud
597;1;Respuesta negativa a la solicitud de información
597;12;Otras
598;12;Otras
598;1;Respuesta negativa a la solicitud de información
599;2;No recibió respuesta a su solicitud
600;1;Respuesta negativa a la solicitud de información
600;10;La información solicitada está en posesión de otro órgano o servicio
601;1;Respuesta negativa a la solicitud de información
601;6;Debido funcionamiento del órgano/servicio
602;4;Otras
603;2;No recibió respuesta a su solicitud
603;12;Otras
604;12;Otras
604;2;No recibió respuesta a su solicitud
605;2;No recibió respuesta a su solicitud
606;2;No recibió respuesta a su solicitud
606;12;Otras
607;12;Otras
607;2;No recibió respuesta a su solicitud
608;2;No recibió respuesta a su solicitud
608;12;Otras
609;10;La información solicitada está en posesión de otro órgano o servicio
609;1;Respuesta negativa a la solicitud de información
610;2;No recibió respuesta a su solicitud
610;3;La información entregada no corresponde a la solicitada
610;4;Otras
611;4;Otras
611;12;Otras
612;2;No recibió respuesta a su solicitud
613;3;La información entregada no corresponde a la solicitada
614;3;La información entregada no corresponde a la solicitada
614;12;Otras
615;2;No recibió respuesta a su solicitud
616;21;Personal y sus remuneraciones
616;28;Presupuesto asignado y su ejecución
616;15;La información es incompleta
616;16;La información está desactualizada
617;1;Respuesta negativa a la solicitud de información
617;11;Oposición de un tercero
618;2;No recibió respuesta a su solicitud
619;2;No recibió respuesta a su solicitud
620;16;La información está desactualizada
620;15;La información es incompleta
620;27;Transferencias de fondos públicos
620;26;Contrataciones
620;25;Mecanismos de participación ciudadana
620;23;Actos y resoluciones con efectos sobre terceros
620;21;Personal y sus remuneraciones
620;20;Entidades en que el organismo tiene participación, representación e intervención
620;13;La información no está disponible en forma permanente
621;1;Respuesta negativa a la solicitud de información
621;12;Otras
622;4;Otras
623;1;Respuesta negativa a la solicitud de información
623;12;Otras
623;6;Debido funcionamiento del órgano/servicio
624;12;Otras
624;1;Respuesta negativa a la solicitud de información
625;1;Respuesta negativa a la solicitud de información
625;12;Otras
626;12;Otras
626;2;No recibió respuesta a su solicitud
627;2;No recibió respuesta a su solicitud
627;12;Otras
628;2;No recibió respuesta a su solicitud
629;1;Respuesta negativa a la solicitud de información
630;2;No recibió respuesta a su solicitud
630;12;Otras
631;12;Otras
631;2;No recibió respuesta a su solicitud
632;3;La información entregada no corresponde a la solicitada
633;3;La información entregada no corresponde a la solicitada
634;3;La información entregada no corresponde a la solicitada
635;3;La información entregada no corresponde a la solicitada
636;2;No recibió respuesta a su solicitud
637;2;No recibió respuesta a su solicitud
638;2;No recibió respuesta a su solicitud
639;2;No recibió respuesta a su solicitud
640;2;No recibió respuesta a su solicitud
641;30;Otros
642;2;No recibió respuesta a su solicitud
643;2;No recibió respuesta a su solicitud
643;12;Otras
644;12;Otras
644;2;No recibió respuesta a su solicitud
645;2;No recibió respuesta a su solicitud
646;2;No recibió respuesta a su solicitud
647;2;No recibió respuesta a su solicitud
647;12;Otras
648;9;La información no existe
648;1;Respuesta negativa a la solicitud de información
649;3;La información entregada no corresponde a la solicitada
649;12;Otras
650;9;La información no existe
650;1;Respuesta negativa a la solicitud de información
651;1;Respuesta negativa a la solicitud de información
651;9;La información no existe
652;9;La información no existe
652;1;Respuesta negativa a la solicitud de información
653;2;No recibió respuesta a su solicitud
653;12;Otras
654;12;Otras
654;2;No recibió respuesta a su solicitud
655;13;La información no está disponible en forma permanente
655;21;Personal y sus remuneraciones
656;6;Debido funcionamiento del órgano/servicio
656;1;Respuesta negativa a la solicitud de información
657;1;Respuesta negativa a la solicitud de información
657;12;Otras
658;12;Otras
658;1;Respuesta negativa a la solicitud de información
659;2;No recibió respuesta a su solicitud
660;1;Respuesta negativa a la solicitud de información
660;11;Oposición de un tercero
661;2;No recibió respuesta a su solicitud
662;2;No recibió respuesta a su solicitud
663;3;La información entregada no corresponde a la solicitada
664;3;La información entregada no corresponde a la solicitada
665;2;No recibió respuesta a su solicitud
666;4;Otras
667;1;Respuesta negativa a la solicitud de información
667;6;Debido funcionamiento del órgano/servicio
668;1;Respuesta negativa a la solicitud de información
668;2;No recibió respuesta a su solicitud
668;12;Otras
669;12;Otras
669;2;No recibió respuesta a su solicitud
670;1;Respuesta negativa a la solicitud de información
670;9;La información no existe
671;2;No recibió respuesta a su solicitud
672;2;No recibió respuesta a su solicitud
673;2;No recibió respuesta a su solicitud
674;4;Otras
675;2;No recibió respuesta a su solicitud
676;3;La información entregada no corresponde a la solicitada
676;6;Debido funcionamiento del órgano/servicio
676;8;No se encuentra la información
676;7;Interés nacional
676;5;Seguridad nacional
677;8;No se encuentra la información
677;3;La información entregada no corresponde a la solicitada
677;1;Respuesta negativa a la solicitud de información
677;9;La información no existe
678;2;No recibió respuesta a su solicitud
679;3;La información entregada no corresponde a la solicitada
680;2;No recibió respuesta a su solicitud
681;2;No recibió respuesta a su solicitud
682;2;No recibió respuesta a su solicitud
683;1;Respuesta negativa a la solicitud de información
683;11;Oposición de un tercero
684;1;Respuesta negativa a la solicitud de información
684;5;Seguridad nacional
685;2;No recibió respuesta a su solicitud
686;4;Otras
686;12;Otras
687;12;Otras
687;2;No recibió respuesta a su solicitud
688;2;No recibió respuesta a su solicitud
688;12;Otras
689;2;No recibió respuesta a su solicitud
690;2;No recibió respuesta a su solicitud
691;3;La información entregada no corresponde a la solicitada
691;12;Otras
692;2;No recibió respuesta a su solicitud
693;1;Respuesta negativa a la solicitud de información
693;12;Otras
694;2;No recibió respuesta a su solicitud
695;2;No recibió respuesta a su solicitud
696;30;Otros
696;15;La información es incompleta
697;2;No recibió respuesta a su solicitud
698;2;No recibió respuesta a su solicitud
699;2;No recibió respuesta a su solicitud
700;3;La información entregada no corresponde a la solicitada
701;4;Otras
702;3;La información entregada no corresponde a la solicitada
703;1;Respuesta negativa a la solicitud de información
704;2;No recibió respuesta a su solicitud
705;2;No recibió respuesta a su solicitud
706;1;Respuesta negativa a la solicitud de información
706;4;Otras
706;11;Oposición de un tercero
706;6;Debido funcionamiento del órgano/servicio
707;12;Otras
707;4;Otras
708;2;No recibió respuesta a su solicitud
708;12;Otras
709;2;No recibió respuesta a su solicitud
710;4;Otras
711;1;Respuesta negativa a la solicitud de información
711;6;Debido funcionamiento del órgano/servicio
712;2;No recibió respuesta a su solicitud
713;15;La información es incompleta
713;27;Transferencias de fondos públicos
714;2;No recibió respuesta a su solicitud
714;12;Otras
715;4;Otras
716;2;No recibió respuesta a su solicitud
716;12;Otras
717;2;No recibió respuesta a su solicitud
718;1;Respuesta negativa a la solicitud de información
718;12;Otras
719;3;La información entregada no corresponde a la solicitada
720;2;No recibió respuesta a su solicitud
721;1;Respuesta negativa a la solicitud de información
722;2;No recibió respuesta a su solicitud
723;27;Transferencias de fondos públicos
723;28;Presupuesto asignado y su ejecución
723;25;Mecanismos de participación ciudadana
723;26;Contrataciones
723;23;Actos y resoluciones con efectos sobre terceros
723;22;Marco normativo aplicable
723;24;Actos y documentos publicados en el Diario Oficial
723;29;Programas de subsidios y otros beneficios (diseño, montos, criterios de acceso, beneficiarios)
723;21;Personal y sus remuneraciones
723;19;Facultades, funciones y atribuciones de unidades internas
723;20;Entidades en que el organismo tiene participación, representación e intervención
724;2;No recibió respuesta a su solicitud
724;12;Otras
726;11;Oposición de un tercero
726;1;Respuesta negativa a la solicitud de información
728;21;Personal y sus remuneraciones
728;30;Otros
728;15;La información es incompleta
728;16;La información está desactualizada
729;2;No recibió respuesta a su solicitud
730;2;No recibió respuesta a su solicitud
731;2;No recibió respuesta a su solicitud
732;2;No recibió respuesta a su solicitud
733;2;No recibió respuesta a su solicitud
734;2;No recibió respuesta a su solicitud
735;1;Respuesta negativa a la solicitud de información
735;11;Oposición de un tercero
736;3;La información entregada no corresponde a la solicitada
737;2;No recibió respuesta a su solicitud
738;1;Respuesta negativa a la solicitud de información
738;11;Oposición de un tercero
739;1;Respuesta negativa a la solicitud de información
739;3;La información entregada no corresponde a la solicitada
740;1;Respuesta negativa a la solicitud de información
740;9;La información no existe
741;12;Otras
741;1;Respuesta negativa a la solicitud de información
742;14;El acceso a la información no es expedito
742;17;Otros
742;24;Actos y documentos publicados en el Diario Oficial
742;29;Programas de subsidios y otros beneficios (diseño, montos, criterios de acceso, beneficiarios)
742;22;Marco normativo aplicable
742;23;Actos y resoluciones con efectos sobre terceros
742;26;Contrataciones
742;25;Mecanismos de participación ciudadana
742;28;Presupuesto asignado y su ejecución
742;27;Transferencias de fondos públicos
742;21;Personal y sus remuneraciones
742;19;Facultades, funciones y atribuciones de unidades internas
742;20;Entidades en que el organismo tiene participación, representación e intervención
742;18;Organigrama
743;4;Otras
744;3;La información entregada no corresponde a la solicitada
745;1;Respuesta negativa a la solicitud de información
745;11;Oposición de un tercero
746;12;Otras
746;1;Respuesta negativa a la solicitud de información
746;6;Debido funcionamiento del órgano/servicio
747;2;No recibió respuesta a su solicitud
748;2;No recibió respuesta a su solicitud
749;3;La información entregada no corresponde a la solicitada
750;1;Respuesta negativa a la solicitud de información
750;12;Otras
751;12;Otras
751;2;No recibió respuesta a su solicitud
752;2;No recibió respuesta a su solicitud
753;2;No recibió respuesta a su solicitud
754;2;No recibió respuesta a su solicitud
754;12;Otras
755;12;Otras
755;2;No recibió respuesta a su solicitud
756;1;Respuesta negativa a la solicitud de información
756;12;Otras
757;12;Otras
757;2;No recibió respuesta a su solicitud
758;1;Respuesta negativa a la solicitud de información
758;8;No se encuentra la información
759;2;No recibió respuesta a su solicitud
760;2;No recibió respuesta a su solicitud
761;3;La información entregada no corresponde a la solicitada
762;2;No recibió respuesta a su solicitud
763;2;No recibió respuesta a su solicitud
763;12;Otras
764;12;Otras
764;3;La información entregada no corresponde a la solicitada
765;2;No recibió respuesta a su solicitud
766;3;La información entregada no corresponde a la solicitada
766;6;Debido funcionamiento del órgano/servicio
767;6;Debido funcionamiento del órgano/servicio
767;1;Respuesta negativa a la solicitud de información
768;2;No recibió respuesta a su solicitud
769;2;No recibió respuesta a su solicitud
770;2;No recibió respuesta a su solicitud
770;12;Otras
771;10;La información solicitada está en posesión de otro órgano o servicio
771;1;Respuesta negativa a la solicitud de información
772;2;No recibió respuesta a su solicitud
773;2;No recibió respuesta a su solicitud
774;2;No recibió respuesta a su solicitud
775;2;No recibió respuesta a su solicitud
776;2;No recibió respuesta a su solicitud
777;2;No recibió respuesta a su solicitud
778;2;No recibió respuesta a su solicitud
779;2;No recibió respuesta a su solicitud
779;12;Otras
780;13;La información no está disponible en forma permanente
780;18;Organigrama
780;20;Entidades en que el organismo tiene participación, representación e intervención
780;19;Facultades, funciones y atribuciones de unidades internas
780;21;Personal y sus remuneraciones
780;27;Transferencias de fondos públicos
780;28;Presupuesto asignado y su ejecución
780;25;Mecanismos de participación ciudadana
780;26;Contrataciones
780;23;Actos y resoluciones con efectos sobre terceros
780;22;Marco normativo aplicable
780;29;Programas de subsidios y otros beneficios (diseño, montos, criterios de acceso, beneficiarios)
780;24;Actos y documentos publicados en el Diario Oficial
780;30;Otros
780;17;Otros
781;3;La información entregada no corresponde a la solicitada
782;3;La información entregada no corresponde a la solicitada
783;2;No recibió respuesta a su solicitud
784;2;No recibió respuesta a su solicitud
785;24;Actos y documentos publicados en el Diario Oficial
785;29;Programas de subsidios y otros beneficios (diseño, montos, criterios de acceso, beneficiarios)
785;22;Marco normativo aplicable
785;23;Actos y resoluciones con efectos sobre terceros
785;26;Contrataciones
785;25;Mecanismos de participación ciudadana
785;28;Presupuesto asignado y su ejecución
785;27;Transferencias de fondos públicos
785;21;Personal y sus remuneraciones
785;19;Facultades, funciones y atribuciones de unidades internas
785;20;Entidades en que el organismo tiene participación, representación e intervención
785;18;Organigrama
786;2;No recibió respuesta a su solicitud
786;12;Otras
787;12;Otras
787;2;No recibió respuesta a su solicitud
788;2;No recibió respuesta a su solicitud
789;2;No recibió respuesta a su solicitud
790;2;No recibió respuesta a su solicitud
790;12;Otras
791;12;Otras
791;2;No recibió respuesta a su solicitud
792;2;No recibió respuesta a su solicitud
792;12;Otras
793;12;Otras
793;2;No recibió respuesta a su solicitud
794;2;No recibió respuesta a su solicitud
795;2;No recibió respuesta a su solicitud
796;2;No recibió respuesta a su solicitud
797;2;No recibió respuesta a su solicitud
798;2;No recibió respuesta a su solicitud
799;3;La información entregada no corresponde a la solicitada
799;11;Oposición de un tercero
800;11;Oposición de un tercero
800;3;La información entregada no corresponde a la solicitada
801;3;La información entregada no corresponde a la solicitada
801;11;Oposición de un tercero
802;2;No recibió respuesta a su solicitud
803;2;No recibió respuesta a su solicitud
804;2;No recibió respuesta a su solicitud
805;2;No recibió respuesta a su solicitud
805;12;Otras
806;2;No recibió respuesta a su solicitud
807;2;No recibió respuesta a su solicitud
808;1;Respuesta negativa a la solicitud de información
808;11;Oposición de un tercero
809;2;No recibió respuesta a su solicitud
810;2;No recibió respuesta a su solicitud
811;1;Respuesta negativa a la solicitud de información
811;4;Otras
811;11;Oposición de un tercero
811;12;Otras
812;12;Otras
812;2;No recibió respuesta a su solicitud
813;3;La información entregada no corresponde a la solicitada
814;1;Respuesta negativa a la solicitud de información
814;8;No se encuentra la información
815;2;No recibió respuesta a su solicitud
816;4;Otras
817;1;Respuesta negativa a la solicitud de información
817;12;Otras
818;21;Personal y sus remuneraciones
818;15;La información es incompleta
819;2;No recibió respuesta a su solicitud
820;1;Respuesta negativa a la solicitud de información
821;2;No recibió respuesta a su solicitud
822;2;No recibió respuesta a su solicitud
823;4;Otras
824;2;No recibió respuesta a su solicitud
825;2;No recibió respuesta a su solicitud
826;2;No recibió respuesta a su solicitud
826;12;Otras
827;12;Otras
827;1;Respuesta negativa a la solicitud de información
827;3;La información entregada no corresponde a la solicitada
828;3;La información entregada no corresponde a la solicitada
829;2;No recibió respuesta a su solicitud
830;1;Respuesta negativa a la solicitud de información
830;12;Otras
831;2;No recibió respuesta a su solicitud
832;15;La información es incompleta
832;16;La información está desactualizada
832;27;Transferencias de fondos públicos
832;28;Presupuesto asignado y su ejecución
832;25;Mecanismos de participación ciudadana
832;23;Actos y resoluciones con efectos sobre terceros
832;22;Marco normativo aplicable
832;29;Programas de subsidios y otros beneficios (diseño, montos, criterios de acceso, beneficiarios)
832;30;Otros
832;21;Personal y sus remuneraciones
832;19;Facultades, funciones y atribuciones de unidades internas
832;18;Organigrama
833;2;No recibió respuesta a su solicitud
833;12;Otras
834;11;Oposición de un tercero
834;4;Otras
835;1;Respuesta negativa a la solicitud de información
835;12;Otras
836;1;Respuesta negativa a la solicitud de información
836;8;No se encuentra la información
837;2;No recibió respuesta a su solicitud
838;1;Respuesta negativa a la solicitud de información
838;12;Otras
839;2;No recibió respuesta a su solicitud
840;2;No recibió respuesta a su solicitud
841;1;Respuesta negativa a la solicitud de información
841;12;Otras
841;11;Oposición de un tercero
842;10;La información solicitada está en posesión de otro órgano o servicio
842;1;Respuesta negativa a la solicitud de información
843;2;No recibió respuesta a su solicitud
844;2;No recibió respuesta a su solicitud
845;2;No recibió respuesta a su solicitud
845;12;Otras
846;3;La información entregada no corresponde a la solicitada
847;3;La información entregada no corresponde a la solicitada
847;11;Oposición de un tercero
848;11;Oposición de un tercero
848;1;Respuesta negativa a la solicitud de información
849;1;Respuesta negativa a la solicitud de información
849;6;Debido funcionamiento del órgano/servicio
850;2;No recibió respuesta a su solicitud
850;12;Otras
851;12;Otras
851;2;No recibió respuesta a su solicitud
852;2;No recibió respuesta a su solicitud
853;1;Respuesta negativa a la solicitud de información
854;1;Respuesta negativa a la solicitud de información
854;12;Otras
855;12;Otras
855;2;No recibió respuesta a su solicitud
856;1;Respuesta negativa a la solicitud de información
856;12;Otras
857;11;Oposición de un tercero
857;1;Respuesta negativa a la solicitud de información
858;3;La información entregada no corresponde a la solicitada
858;12;Otras
859;9;La información no existe
859;4;Otras
860;2;No recibió respuesta a su solicitud
861;1;Respuesta negativa a la solicitud de información
861;11;Oposición de un tercero
862;12;Otras
862;2;No recibió respuesta a su solicitud
