Código del organismo;Nombre del organismo;Año informado;Trimestre informado;Nombre del Pacto;Partidos que lo conforman;Tipo o carácter del pacto;Año de elecciones
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección de Diputados;2017
PP009;Partido Demócrata Cristiano (PDC);2019;Ene - Mar;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección Senatorial;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile , Independientes;Elección Concejales;2016
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Unidos por la descentralizacion;Partido Demócrata Cristiano y Partido Socialista de Chile;Elección Consejeros Regionales;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección de Diputados;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Oct - Dic;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección Senatorial;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile , Independientes;Elección Concejales;2016
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Unidos por la descentralizacion;Partido Demócrata Cristiano y Partido Socialista de Chile;Elección Consejeros Regionales;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección de Diputados;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Jul - Sep;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección Senatorial;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile , Independientes;Elección Concejales;2016
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Unidos por la descentralizacion;Partido Demócrata Cristiano y Partido Socialista de Chile;Elección Consejeros Regionales;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección de Diputados;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Abr - Jun;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección Senatorial;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile , Independientes;Elección Concejales;2016
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Unidos por la descentralizacion;Partido Demócrata Cristiano y Partido Socialista de Chile;Elección Consejeros Regionales;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección de Diputados;2017
PP009;Partido Demócrata Cristiano (PDC);2018;Ene - Mar;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección Senatorial;2017
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile , Independientes;Elección Concejales;2016
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Unidos por la descentralizacion;Partido Demócrata Cristiano y Partido Socialista de Chile;Elección Consejeros Regionales;2017
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección de Diputados;2017
PP009;Partido Demócrata Cristiano (PDC);2017;Oct - Dic;Convergencia Democratica;Partido Demócrata Cristiano, Izquierda Ciudadana y Más Región;Elección Senatorial;2017
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP009;Partido Demócrata Cristiano (PDC);2017;Jul - Sep;Pacto Nueva Mayoría por Chile;Partido Demócrata Cristiano, Partido Socialista de Chile , Independientes;Elección Concejales;2016
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Pacto Frente Amplio;Partido Ecologista Verde, Partido Poder Ciudadano, Partido Liberal, Partido Humanista, Revolución Democrática, Partido Igualdad; y los movimientos Democrático Progresista, Sol, Nueva Democracia, Izquierda Autónoma, Movimiento Autonomista, Izquierda Libertaria, Partido Pirata.;Presidencial;2017
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Pacto Frente Amplio;Partido Ecologista Verde, Partido Poder Ciudadano, Partido Liberal, Partido Humanista, Revolución Democrática, Partido Igualdad; y los movimientos Democrático Progresista, Sol, Nueva Democracia, Izquierda Autónoma, Movimiento Autonomista, Izquierda Libertaria, Partido Pirata.;Senatorial;2017
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Pacto Frente Amplio;Partido Ecologista Verde, Partido Poder Ciudadano, Partido Liberal, Partido Humanista, Revolución Democrática, Partido Igualdad; y los movimientos Democrático Progresista, Sol, Nueva Democracia, Izquierda Autónoma, Movimiento Autonomista, Izquierda Libertaria, Partido Pirata.;Diputados;2017
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Pacto Frente Amplio;Partido Ecologista Verde, Partido Poder Ciudadano, Partido Liberal, Partido Humanista, Revolución Democrática, Partido Igualdad; y los movimientos Democrático Progresista, Sol, Nueva Democracia, Izquierda Autónoma, Movimiento Autonomista, Izquierda Libertaria, Partido Pirata.;Consejeros Regionales;2017
PP010;Partido Ecologista Verde (PEV);2018;Ene-Mar;Pacto Poder Ecologista y Ciudadano;Partido Ecologista Verde, Partido Poder Ciudadano;Municipales;2016
PP010;Partido Ecologista Verde (PEV);2018;Ene-Mar;Pacto Poder Ecologista y Ciudadano;Partido Ecologista Verde, Partido Poder Ciudadano;Consejeros regionales;2017
PP010;Partido Ecologista Verde (PEV);2018;Ene-Mar;Frente Amplio;Partido Ecologista Verde- Partido Poder Ciudadano. - P. Revolución Democrática - Partido Igualdad. Partido liberal -Partido Humanista Movimiento Autonomista - Izquierda Autonoma - Nueva Democracia Izquierda Libertaria- Partido Pirata de Chile -Movimiento democrático progresista- Moviemiento Socialismo y libertad- Moviemiento Democrático y Popular;Parlamentaria y Presidenciales.;2017
PP010;Partido Ecologista Verde (PEV);2019;Ene - Mar;Frente Amplio;Partido Ecologista Verde- Partido Poder Ciudadano. - P. Revolución Democrática - Partido Igualdad. Partido liberal -Partido Humanista Movimiento Autonomista - Izquierda Autonoma - Nueva Democracia Izquierda Libertaria- Partido Pirata de Chile -Movimiento democrático progresista- Moviemiento Socialismo y libertad- Moviemiento Democrático y Popular;Parlamentaria y Presidenciales.;2017
PP010;Partido Ecologista Verde (PEV);2017;Abr - Jun;Pacto Frente Amplio;Partido Ecologista Verde, Partido Poder, Partido Liberal, Partido Humanista, Revolución Democrática, Partido Igualdad; y los movimientos Democrático Progresista, Sol, Nueva Democracia, Izquierda Autónoma, Movimiento Autonomista, Izquierda Libertaria, Partido Pirata.;Elección primaria;2017
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;Pacto Poder Ecologista y Ciudadano;Partido Ecologista Verde, Partido Poder Ciudadano;Municipales;2016
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;Pacto Poder Ecologista y Ciudadano;Partido Ecologista Verde, Partido Poder Ciudadano;Consejeros regionales;2017
PP010;Partido Ecologista Verde (PEV);2018;Abr - Jun;Frente Amplio;Partido Ecologista Verde- Partido Poder Ciudadano. - P. Revolución Democrática - Partido Igualdad. Partido liberal -Partido Humanista Movimiento Autonomista - Izquierda Autonoma - Nueva Democracia Izquierda Libertaria- Partido Pirata de Chile -Movimiento democrático progresista- Moviemiento Socialismo y libertad- Moviemiento Democrático y Popular;Parlamentaria y Presidenciales.;2017
PP010;Partido Ecologista Verde (PEV);2016;Jul-Sep;Pacto Poder Ecologista y Ciudadano;Partido Ecologista Verde, Partido Poder Ciudadano.;Electoral;2016
PP010;Partido Ecologista Verde (PEV);2017;Jul-Sep;Pacto Poder Ecologista y Ciudadano;Partido Ecologista Verde, Partido Poder Ciudadano.;Electoral;2017
PP010;Partido Ecologista Verde (PEV);2017;Jul-Sep;Frente Amplio;Partido Ecologista Verde- Partido Poder Ciudadano. - P. Revolución Democrática - Partido Igualdad. Partido liberal -Partido Humanista Movimiento Autonomista - Izquierda Autonoma - Nueva Democracia Izquierda Libertaria- Partido Pirata de Chile -Movimiento democrático progresista- Moviemiento Socialismo y libertad- Moviemiento Democrático y Popular;Electoral;2017
PP010;Partido Ecologista Verde (PEV);2019;Abr - Jun;Frente Amplio;Partido Ecologista Verde- Partido Poder Ciudadano. - P. Revolución Democrática - Partido Igualdad. Partido liberal -Partido Humanista Movimiento Autonomista - Izquierda Autonoma - Nueva Democracia Izquierda Libertaria- Partido Pirata de Chile -Movimiento democrático progresista- Moviemiento Socialismo y libertad- Moviemiento Democrático y Popular;Parlamentaria y Presidenciales.;2017
PP010;Partido Ecologista Verde (PEV);2018;Jul - Sep;Frente Amplio;Partido Ecologista Verde- Partido Poder Ciudadano. - P. Revolución Democrática - Partido Igualdad. Partido liberal -Partido Humanista Movimiento Autonomista - Izquierda Autonoma - Nueva Democracia Izquierda Libertaria- Partido Pirata de Chile -Movimiento democrático progresista- Moviemiento Socialismo y libertad- Moviemiento Democrático y Popular;Parlamentaria y Presidenciales.;2017
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Pacto Poder Ecologista y Ciudadano;Partido Ecologista Verde, Partido Poder Ciudadano;Municipales;2016
PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Pacto Poder Ecologista y Ciudadano;Partido Ecologista Verde, Partido Poder Ciudadano;Consejeros regionales;2017
PP010;Partido Ecologista Verde (PEV);2017;Oct - Dic;Frente Amplio;Partido Ecologista Verde- Partido Poder Ciudadano. - P. Revolución Democrática - Partido Igualdad. Partido liberal -Partido Humanista Movimiento Autonomista - Izquierda Autonoma - Nueva Democracia Izquierda Libertaria- Partido Pirata de Chile -Movimiento democrático progresista- Moviemiento Socialismo y libertad- Moviemiento Democrático y Popular;Parlamentaria y Presidenciales.;2017
PP010;Partido Ecologista Verde (PEV);2018;Oct-Dic;Frente Amplio;Partido Ecologista Verde- Partido Poder Ciudadano. - P. Revolución Democrática - Partido Igualdad. Partido liberal -Partido Humanista Movimiento Autonomista - Izquierda Autonoma - Nueva Democracia Izquierda Libertaria- Partido Pirata de Chile -Movimiento democrático progresista- Moviemiento Socialismo y libertad- Moviemiento Democrático y Popular;Parlamentaria y Presidenciales.;2017
PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Pacto;2018
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Alcalde;2016
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Chile Vamos - Evópoli PRI;Partido Evolución Política,Partido Regionalista de los Independientes;Alcalde;2016
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Pacto;2017
PP011;Partido Evolución Política (Evópoli);2017;Abr - Jun;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Pacto;2017
PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Pacto;2017
PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Elección Parlamentaria;2017
PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;RN - Evópoli;Partido Evolución Política - Renovación Nacional;Elección Consejeros regionales;2017
PP011;Partido Evolución Política (Evópoli);2017;Oct - Dic;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Pacto;2017
PP011;Partido Evolución Política (Evópoli);2017;Oct - Dic;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Elección Parlamentaria;2017
PP011;Partido Evolución Política (Evópoli);2017;Oct - Dic;RN - Evópoli;Partido Evolución Política - Renovación Nacional;Elección Consejeros regionales;2017
PP011;Partido Evolución Política (Evópoli);2018;Abr - Jun;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Pacto;2018
PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Pacto;2018
PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;Chile Vamos;Partido Evolución Política,Partido Regionalista de los Independientes, Renovación Nacional,Unión Demócrata Independiente;Pacto;2018
PP014;Partido Humanista (PH);2017;Abr - Jun;Frente Amplio;Partido Humanista, Partido Liberal, Partido Revoluciòn Democràtica, Partido Ecologista Verde, Partido Poder Ciudadano, Partido Igualdad, otros Movimientos Polìticos y Organizaciones Sociales.;Elecciones Presidenciales y Parlamentarias;2017
PP014;Partido Humanista (PH);2017;Jul - Sep;Frente Amplio;Partido Humanista, Partido Liberal, Partido Revoluciòn Democràtica, Partido Ecologista Verde, Partido Poder Ciudadano, Partido Igualdad, otros Movimientos Polìticos y Organizaciones Sociales.;Elecciones Presidenciales y Parlamentarias;2017
PP014;Partido Humanista (PH);2017;Jul - Sep;Frente Amplio;Partido Humanista, Partido Liberal, Partido Revoluciòn Democràtica, Partido Igualdad, otros Movimientos Polìticos y Organizaciones Sociales.;Elección de CORES;2017
PP014;Partido Humanista (PH);2017;Oct - Dic;Frente Amplio;Partido Humanista, Partido Liberal, Partido Revoluciòn Democràtica, Partido Ecologista Verde, Partido Poder Ciudadano, Partido Igualdad, otros Movimientos Polìticos y Organizaciones Sociales.;Elecciones Presidenciales y Parlamentarias;2017
PP014;Partido Humanista (PH);2017;Oct - Dic;Frente Amplio;Partido Humanista, Partido Liberal, Partido Revoluciòn Democràtica, Partido Igualdad, otros Movimientos Polìticos y Organizaciones Sociales.;Elección de CORES;2017
PP014;Partido Humanista (PH);2018;Ene - Dic;No;No;Año sin elecciones;2018
PP014;Partido Humanista (PH);2019;Ene - Dic;No;No;Año sin elecciones;2019
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;La Fuerza de la Mayoría;Partido Por la Democracia, Partido Socialista de Chile, Partido Comunista de Chile, Partido Radical Social Demócrata, Independientes;Parlamentaria;2017
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Por un Chile Justo y Descentralizado;Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Social Demócrata, Movimiento Amplio Social, Izquierda Ciudadana, Independientes;Consejeros Regionales;2017
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Pacto Nueva Mayoría;Partido Por la Democracia, Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Comunista de Chile, Partido Radical Social Demócrata, Partido Izquierda Ciudadana de Chile, Movimiento Amplio Social, Independientes;Elección de Alcaldes;2016
PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Pacto Nueva Mayoría Por Chile;Partido Por la Democracia, Partido Comunista de Chile, Independientes;Elección Concejales;2016
PP021;Partido Progresista (PRO);2018;Abr - Jun;No Aplica;No Aplica;No Aplica;No aplica
PP021;Partido Progresista (PRO);2016;Oct - Dic;Yo Marco Por El Cambio;Partido Progresista;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;Yo Marco Por El Cambio;Independientes;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;FREP e Independientes;Partido Progresista;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;FREP e Independientes;Frente Regional y Popular;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;FREP e Independientes;Independientes;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;Wallmapu e independientes;Partido Progresista;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;Wallmapu e independientes;Wallmapuwen;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;Wallmapu e independientes;Independientes;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;DRP e Indepedientes;Partido Progresista;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;DRP e Indepedientes;Democracia Regional Patagónica;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;DRP e Indepedientes;Independientes;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2018;Abr - Jun;No Aplica;No Aplica;No Aplica;No aplica
PP021;Partido Progresista (PRO);2018;Abr - Jun;No Aplica;No Aplica;No Aplica;No aplica
PP021;Partido Progresista (PRO);2016;Oct - Dic;Yo Marco Por El Cambio;Partido Progresista;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;Yo Marco Por El Cambio;Independientes;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;FREP e Independientes;Partido Progresista;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;FREP e Independientes;Frente Regional y Popular;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;FREP e Independientes;Independientes;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;Wallmapu e independientes;Partido Progresista;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;Wallmapu e independientes;Wallmapuwen;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;Wallmapu e independientes;Independientes;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;DRP e Indepedientes;Partido Progresista;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;DRP e Indepedientes;Democracia Regional Patagónica;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2016;Oct - Dic;DRP e Indepedientes;Independientes;Elección de concejales y alcaldes;2016
PP021;Partido Progresista (PRO);2018;Abr - Jun;No Aplica;No Aplica;No Aplica;No aplica
PP021;Partido Progresista (PRO);2018;Abr - Jun;No Aplica;No Aplica;No Aplica;No aplica
PP022;Partido Radical de Chile;2019;Abr-Jun;-;-;Elección Presidencial;2017
PP022;Partido Radical de Chile;2019;Abr-Jun;La Fuerza de la Mayoría;Partido Radical Socialdemócrata, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile e Independientes;Elección Parlamentaria;2017
PP022;Partido Radical de Chile;2019;Abr-Jun;Por un Chile Justo y Descentralizado;Partido Radical Socialdemócrata, Partido Comunista de Chile, Partido Izquierda Ciudadana de Chile, MAS Región, Partido Por la Democracia;Elección de COREs;2017
PP022;Partido Radical de Chile;2019;Abr-Jun;Nueva Mayoría;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Socialdemócrata, MAS Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de Alcaldes;2016
PP022;Partido Radical de Chile;2019;Abr-Jun;Con la fuerzas del futuro;Partido Radical Socialdemócrata, Más Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección de concejales;2016
PP022;Partido Radical de Chile;2019;Abr-Jun;Nueva Mayoría;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Socialdemócrata, MAS Región, Partido Izquierda Ciudadana de Chile, Independientes;Elección Presidencial;2013
PP022;Partido Radical de Chile;2019;Abr-Jun;Nueva Mayoría;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Comunista de Chile, Partido Radical Socialdemócrata, MAS Región, Partido Izquierda Ciudadana de Chile e Independientes;Elección Parlamentaria;2013
PP022;Partido Radical de Chile;2019;Abr-Jun;Nueva Mayoría por Chile;Partido Comunista de Chile, Partido por la Democracia, Partido Radical Socialdemócrata, MAS Región e Independientes;Elección de COREs;2013
PP022;Partido Radical de Chile;2019;Abr-Jun;Por un Chile Justo;Partido Comunista de Chile, Partido por la Democracia, Partido Radical Socialdemócrata e Independientes;Elección de Concejales;2012
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección de Alcaldes;2012
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección Presidencial;2009
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección Parlamentaria;2009
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección de Alcaldes;2008
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación Progresista;Partido Radical Socialdemócrata, Partido por la Democracia e Independientes;Elección de Concejales;2008
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección Presidencial;2005
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección Parlamentaria;2005
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección de Alcaldes;2004
PP022;Partido Radical de Chile;2019;Abr-Jun;Concertación de Partido por la Democracia;Partido Demócrata Cristiano, Partido Socialista de Chile, Partido Por la Democracia, Partido Radical Socialdemócrata, e Independientes;Elección de Concejales;2004
