Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Materia;Nombre del Órgano;Tipo de Acto;Denominación del Acto;Número del Acto;Fecha del Acto;Breve descripción del objeto del Acto;Vínculo al texto íntegro
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Metropolitana Stgo.;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Metropolitana Stgo.;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional O'Higgins;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional O'Higgins;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional O'Higgins;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Maule;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Maule;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Maule;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Ñuble;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Ñuble;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Ñuble;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional BioBío;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional BioBío;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional BioBío;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Araucanía;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Araucanía;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Araucanía;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Los Ríos;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Los Ríos;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Los Ríos;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Los Lagos;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Los Lagos;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Los Lagos;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Aysén;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Aysén;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;III;Consejo Regional Aysén;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;I;Consejo Regional Magallanes;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2019;Ene-Mar;II;Consejo Regional Magallanes;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2018;Ene-Mar;III;Consejo Regional Magallanes;No Aplica;No Aplica;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;https://www.partidoradical.cl/consejos-regionales-2/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo General;No Aplica;No Aplica;No Aplica;No Aplica;Sin sesión durante el trimestre;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Administrativo;1;03-02-2018;Se acuerda gestionar celebración del día de la mujer;https://es.scribd.com/document/377824306/Acta-Enero-2018-Pr-Arica-y-Parinacota-Web
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Administrativo;2;10-03-2018;Se acuerda realización de Ampliado Regional;https://es.scribd.com/document/377824304/Acta-Febrero-2018-Pr-Arica-y-Parinacota-Web
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Administrativo;3;07-04-2018;Se acuerda consultar restricciones legales;https://es.scribd.com/document/377824305/Acta-Marzo-2018-Pr-Arica-y-Parinacota-Web
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Tarapacá;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Tarapacá;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Tarapacá;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Antofagasta;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Antofagasta;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Antofagasta;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Atacama;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Atacama;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Atacama;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Coquimbo;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Coquimbo;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Coquimbo;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Valparaíso;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional O'Higgins;Acuerdo;Acuerdo Administrativo;38;30-01-2018;Se acuerda realización de reunión y exposición;https://es.scribd.com/document/377824066/Acta-Enero-2018-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional O'Higgins;Sin Acuerdo;Sin Acuerdo;39;27-02-2018;No hay acuerdos formales por ser reunión informativa;https://es.scribd.com/document/377824067/Acta-Febrero-2018-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional O'Higgins;Sin Acuerdo;Sin Acuerdo;40;24-03-2018;No hay acuerdos formales por ser reunión informativa;https://es.scribd.com/document/377824065/Acta-Marzo-2018-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Maule;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Maule;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Maule;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional BioBío;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional BioBío;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional BioBío;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Araucanía;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Araucanía;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Araucanía;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Los Ríos;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Los Ríos;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Los Ríos;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Los Lagos;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Los Lagos;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Los Lagos;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Aysén;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Aysén;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Aysén;No Aplica;No Informa;No Aplica;No Aplica;Consejo Regional no informa acta ni sesión;http://www.partidoradical.cl/no-se-cuenta-acta/
PP022;Partido Radical de Chile;2018;Ene - Mar;I;Consejo Regional Magallanes;Acuerdo;Acuerdos Varios;1;26-01-2018;Se acuerdan distintas materias;https://es.scribd.com/document/377824205/Acta-Enero-2018-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2018;Ene - Mar;II;Consejo Regional Magallanes;Acuerdo;Acuerdos Administrativos;2;02-03-2018;Se acuerdan distintas materias Administrativas;https://es.scribd.com/document/377824204/Acta-Febrero-2018-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2018;Ene - Mar;III;Consejo Regional Magallanes;Acuerdo;Acuerdos Políticos;3;29-03-2018;Se acuerda coordinación política interna;https://es.scribd.com/document/377824206/Acta-Marzo-2018-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo General;Acuerdo;Acuerdo Adinistrativo;S/N;18-10-2018;Se acuerdan modificaciones políticas y administrativas;https://es.scribd.com/document/386659582/Acta-Consejo-General-20161018
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Arica y Parinacota;Sin Acuerdo;Reunión Municipal;8;05-10-2016;Reunión informativa. Sin acuerdo formal;https://es.scribd.com/document/349446403/Acta-Octubre-2016-Pr-Arica-y-p-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Orgánico;9;09-11-2016;Renión de Evaluación Municipal;https://es.scribd.com/document/349446400/Acta-Noviembre-2016-Pr-Arica-y-p-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Orgánico;10;07-12-2016;Reunión Informativa y Organizativa;https://es.scribd.com/document/349446401/Acta-Diciembre-2016-Pr-Arica-y-p-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Tarapacá;Acuerdo;Acuerdo Municipal;14;11-10-2016;Apoyo en el último tramo municipal;https://es.scribd.com/document/338149969/Acta-Octubre-2016-PR-Tarapaca-WEB
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Tarapacá;Acuerdo;Acuerdo Municipal;15;15-11-2016;Análisis resultados municipales;https://es.scribd.com/document/338149968/Acta-Noviembre-2016-PR-Tarapaca-WEB
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Tarapacá;Acuerdo;Acuerdo Presidencial;16;15-12-2016;Apoyo presidencial y varios;https://es.scribd.com/document/338149967/Acta-Diciembre-2016-PR-Tarapaca-WEB
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Antofagasta;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Antofagasta;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Antofagasta;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Atacama;Acuerdo;Acuerdo Municipal;5;26-10-2016;Apoyo a los concejales electos;https://es.scribd.com/document/338151513/Acta-Octubre-2016-Pr-Atacama-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Atacama;Acuerdo;Acuerdo Reglamentario;6;25-11-2016;Acuerdo a cumplimiento de ley;https://es.scribd.com/document/338151510/Acta-Noviembre-2016-Pr-Atacama-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Atacama;Acuerdo;Acuerdo Eleccionario Interno;7;30-12-2016;Acuerdo para locales de votación;https://es.scribd.com/document/338151516/Acta-Diciembre-2016-Pr-Atacama-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Coquimbo;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Coquimbo;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Coquimbo;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Valparaíso;No Aplica;Acta Objetada;No Aplica;No Aplica;En enmineda;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Valparaíso;No Aplica;Acta Objetada;No Aplica;No Aplica;En enmineda;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Valparaíso;No Aplica;Acta Objetada;No Aplica;No Aplica;En enmineda;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Metropolitana Stgo.;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional O'Higgins;Acuerdo;Acuerdo Orgánico y Político;21;16-11-2016;Ajuste orgánico y acuerdo electoral;https://es.scribd.com/document/349446587/Acta-Octubre-2016-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional O'Higgins;Acuerdo;Reconocimiento Político;22;25-11-2016;Se reconocen los logros de un militante;https://es.scribd.com/document/349446586/Acta-2-Noviembre-2016-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional O'Higgins;Acuerdo;Acuerdo Orgánico;23;21-12-2016;Locales de votación y Tribunal regional;https://es.scribd.com/document/349446584/Acta-Diciembre-2016-Pr-o-Higgins-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Maule;Acuerdo;Suspensión;1;21-10-2016;Falta de quorum;https://es.scribd.com/document/349446787/Acta-Octubre-2016-Pr-Maule-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Maule;Acuerdo;Acuerdo político;2;28-11-2016;Acuerdos electorales y políticos (refichaje);https://es.scribd.com/document/349446785/Acta-Noviembre-2016-Pr-Maule-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Maule;Resolución;Nuevo Consejo Regional;3;03-12-2016;Electos los Consejeros Regionales y Generales;https://es.scribd.com/document/349446786/Acta-Diciembre-2016-Pr-Maule-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional BioBío;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional BioBío;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional BioBío;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Araucanía;Acuerdo;Acuerdo Interno;S/N;27-10-2016;Acuerda realización de Consejo Ampliado;https://es.scribd.com/document/349446965/Acta-Octubre-2016-Pr-Araucania-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Araucanía;Acuerdo;Acuerdo Orgánico - Político;S/N;30-11-2016;Se acuerda organización interna y Comando;https://es.scribd.com/document/349446964/Acta-Noviembre-2016-Pr-Araucania-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Araucanía;Acuerdo;Acuerdo Político;S/N;28-12-2016;Se acuerda Comando Regional y Proclamación;https://es.scribd.com/document/349446963/Acta-Diciembre-2016-Pr-Araucania-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Los Ríos;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Los Ríos;Acuerdo;Acuerdo Interno;6;16-11-2016;Se presenta queja formal y reordenamiento;https://es.scribd.com/document/349447127/Acta-Noviembre-2016-Pr-Los-Rios-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Los Ríos;No Aplica;No Informa;No Aplica;No Aplica;Sin Informar;https://www.partidoradical.cl
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Los Lagos;Acuerdo;Acuerdo Interno;S/N;08-10-2016;Acuerdo orgánico y de apoyo a candidaturas;https://es.scribd.com/document/349447215/Acta-Octubre-2016-Pr-Los-Lagos-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Los Lagos;Acuerdo;Acuerdo Interno;S/N;12-11-2016;Acuerdo de apoyo a viaje y agradecimientos;https://es.scribd.com/document/349447213/Acta-Noviembre-2016-Pr-Los-Lagos-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Los Lagos;Acuerdo;Acuerdo Orgánico;S/N;09-12-2016;Se acuerdan los reemplazos y reestructuración;https://es.scribd.com/document/349447211/Acta-Diciembre-2016-Pr-Los-Lagos-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Aysén;Acuerdo;Acuerdo financierdo y político;13;24-10-2016;Se acuerda informe financiero y candidaturas;https://es.scribd.com/document/349447319/Acta-Octubre-2016-Pr-Aysen-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Aysén;Acuerdo;Acuerdo político;15;25-11-2016;Se acuerda reunión con el Intendente;https://es.scribd.com/document/349447317/Acta-Noviembre-2016-Pr-Aysen-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Aysén;Acuerdo;Acuerdo Orgánico;17;07-12-2016;Se acuerda despliegue por refichaje y elección;https://es.scribd.com/document/349447318/Acta-Diciembre-2016-Pr-Aysen-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;I;Consejo Regional Magallanes;Acuerdo;Acuerdo Interno;10;01-10-2016;Se acuerda despliegue y apoyo por elección;https://es.scribd.com/document/349447432/Acta-Octubre-2016-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;II;Consejo Regional Magallanes;Acuerdo;Acuerdo Interno;11;05-11-2016;Se evaluará de manera íntegra las elecciones;https://es.scribd.com/document/349447428/Acta-Noviembre-2016-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2016;Oct - Dic;III;Consejo Regional Magallanes;Sin Acuerdo;Reunión Informativa;1;20-12-2016;Se debate e informa sin acuerdo formal;https://es.scribd.com/document/349447429/Acta-Diciembre-2016-Pr-Magallanes-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo General;Acuerdo;Acuerdo Presidencial;S/N;06-01-2017;Acuerdo sobre candidatura Presidencial A. Guillier;https://es.scribd.com/document/349971437/Acta-Sesion-Extraordinaria-Consejo-General
PP022;Partido Radical de Chile;2017;Ene - Mar;I;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Orgánico;1;13-01-2017;Se acuerda orden administrativo del consejo;https://es.scribd.com/document/355204246/Acta-Enero-2017-Pr-Arica-y-p-Web
PP022;Partido Radical de Chile;2017;Ene - Mar;II;Consejo Regional Arica y Parinacota;Acuerdo;Acuerdo Orgánico;2;27-02-2017;Se acuerda orden administrativo y electoral;https://es.scribd.com/document/349448808/Acta-Febrero-2017-Pr-Arica-y-p-Web
